,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
454,1,1,13,0,11,3,0,0,0,1,10,6,0,6,0,0,0,1,0,0,0,1,1,6,1,0,0,0,0,0,0,5.945945945945946,0,6,1,6,37
455,1,3,20,0,21,8,1,2,0,1,22,24,3,11,0,0,2,6,0,1,0,6,5,10,3,4,1,1,0,0,1,6.35,0,1,4,10,100
456,1,1,14,0,13,1,0,0,0,1,9,12,0,8,0,0,3,2,0,0,0,7,8,8,1,2,0,1,1,0,0,5.237288135593221,1,1,2,5,59
457,3,1,26,0,32,15,1,2,0,5,32,17,1,10,0,0,6,9,0,0,1,6,8,10,8,9,1,2,0,0,2,6.341463414634147,0,6,3,8,123
458,1,0,13,0,9,1,0,0,0,3,6,20,0,5,0,0,3,2,0,0,0,3,2,4,0,0,0,3,0,0,1,5.543478260869565,0,13,1,5,46
459,3,1,23,0,14,8,0,1,0,2,16,14,1,13,0,0,0,2,0,0,0,5,5,11,2,2,1,1,0,0,0,6.205128205128205,0,3,2,9,78
460,2,0,17,1,21,8,0,0,0,4,22,6,0,11,0,0,3,9,0,1,0,5,9,10,2,4,1,0,1,0,0,6.257142857142857,1,2,3,6,70
461,0,1,23,1,22,12,0,0,0,2,26,14,0,13,0,0,6,6,0,0,0,8,8,10,3,1,1,3,1,0,1,6.175257731958763,1,2,3,8,97
462,7,1,28,0,26,14,1,0,0,7,28,12,2,22,0,0,4,9,0,0,1,7,12,10,5,3,2,4,0,0,1,6.176470588235294,0,2,3,12,119
463,1,0,15,0,13,8,0,0,0,2,11,10,0,9,0,0,1,6,0,0,0,1,2,4,1,1,1,2,2,0,0,6.313725490196078,1,3,2,7,51
464,2,0,16,0,10,4,0,0,0,1,16,9,0,9,0,0,7,3,0,0,0,9,9,10,1,1,4,0,0,0,4,5.605633802816901,0,2,2,8,71
465,2,0,10,0,11,4,0,1,0,1,11,9,0,3,0,0,6,6,0,0,1,6,9,5,2,1,0,1,0,2,0,5.717391304347826,1,2,1,7,46
466,11,0,32,0,33,20,0,0,0,4,40,18,0,25,0,0,2,6,0,0,0,6,7,10,11,8,0,1,2,0,1,7.255172413793104,2,2,4,13,145
467,4,1,25,0,22,11,1,1,0,4,24,10,0,14,0,0,3,7,0,0,1,6,10,13,1,12,1,0,3,0,1,6.354166666666667,2,2,4,5,96
468,3,2,25,1,28,12,1,1,0,2,32,18,1,12,0,0,3,12,0,0,0,4,5,11,1,9,1,2,2,0,2,6.413793103448276,2,1,4,10,116
469,4,0,25,0,12,14,1,0,0,3,21,10,0,13,0,0,5,9,0,0,0,11,11,12,10,4,5,2,2,1,2,6.929292929292929,2,11,4,9,99
470,2,1,22,0,9,4,0,3,0,2,9,18,0,7,0,0,5,5,0,0,0,10,11,9,1,2,0,1,0,0,0,6.065573770491803,0,0,1,8,61
471,6,0,19,1,17,12,0,0,0,3,22,20,0,12,0,0,4,9,1,0,1,4,8,13,3,1,1,2,1,0,0,5.15929203539823,1,6,3,14,113
472,5,2,20,0,20,13,0,0,0,5,23,16,0,14,0,0,5,8,3,0,2,7,10,8,8,8,3,2,0,0,1,6.066037735849057,0,4,3,12,106
473,1,0,21,0,14,13,0,0,0,2,23,7,0,8,0,0,4,4,0,0,0,10,11,9,2,1,0,1,1,0,2,5.722222222222222,0,1,3,8,72
474,1,1,36,1,36,20,0,0,0,6,42,27,0,22,0,0,2,12,0,0,2,12,12,12,10,6,4,3,1,0,2,6.478260869565218,2,10,3,14,161
475,1,1,17,0,13,12,0,0,0,2,14,10,0,12,0,0,6,9,0,0,0,8,7,9,4,6,0,1,2,0,0,6.544303797468355,2,1,4,10,79
476,3,0,27,0,26,13,1,1,0,4,23,14,0,14,0,0,7,10,0,0,1,7,11,10,6,6,1,1,0,0,4,6.133928571428571,0,2,3,22,112
477,3,0,17,0,9,5,0,1,0,5,16,12,0,8,0,0,2,5,0,0,1,6,11,7,2,2,1,1,1,0,2,5.96875,2,1,3,9,64
478,3,0,25,1,19,15,0,0,0,1,25,18,0,12,0,0,2,9,0,2,0,6,4,10,5,4,1,2,0,0,0,6.402061855670103,0,1,3,11,97
479,4,1,24,1,17,23,0,0,0,4,28,12,0,11,0,0,2,4,1,0,1,5,5,8,1,2,1,3,1,0,1,6.302083333333333,1,3,4,16,96
480,2,1,16,2,16,14,0,0,0,4,12,9,0,11,0,0,2,11,0,0,1,6,8,3,2,5,1,2,0,0,0,5.794117647058823,0,0,3,9,68
481,6,0,34,1,23,10,0,1,0,8,30,11,1,20,0,0,4,12,0,0,2,10,15,12,1,11,4,2,2,1,0,6.28,2,5,4,15,125
482,2,1,17,0,16,8,1,2,0,2,18,11,0,10,0,0,5,7,1,0,0,5,5,11,2,3,0,1,0,0,1,6.153846153846154,0,1,3,11,78
483,2,2,18,0,16,7,0,0,0,2,23,23,0,10,0,0,9,7,0,0,0,2,4,4,1,1,7,1,1,1,3,5.555555555555555,4,13,1,14,99
484,6,1,40,2,40,20,1,2,0,6,48,40,0,22,0,0,9,13,0,0,2,11,13,19,5,10,2,3,5,0,1,6.223404255319149,2,15,4,13,188
485,0,1,7,0,4,0,0,0,0,0,7,1,0,3,0,0,1,1,0,0,1,4,1,4,0,1,0,1,0,0,0,5.421052631578948,0,1,1,3,19
486,3,1,39,0,29,16,0,1,0,7,38,13,0,12,0,0,7,9,0,0,1,10,11,10,4,6,3,3,1,0,0,6.144,0,6,4,11,125
487,8,2,32,1,31,14,0,1,0,8,36,12,1,18,0,0,7,9,0,0,1,7,15,15,5,10,0,2,2,1,3,6.015267175572519,3,1,4,12,131
488,5,0,31,0,24,8,3,1,0,2,29,13,0,13,0,0,5,12,0,0,0,8,8,11,4,4,1,2,3,0,0,6.85,1,5,2,10,100
489,1,0,28,0,18,8,0,1,0,6,24,15,0,14,0,0,3,9,0,0,0,8,10,9,2,3,0,1,1,0,1,6.6063829787234045,2,8,3,10,94
490,1,0,16,1,11,4,0,0,0,2,20,4,0,7,0,0,4,1,0,0,0,7,8,9,5,2,2,0,2,0,0,6.189655172413793,1,6,2,6,58
491,1,0,18,0,13,4,0,0,0,5,15,10,0,8,0,1,4,5,0,0,0,6,12,5,2,1,0,0,0,0,1,5.892307692307693,0,0,2,6,65
492,4,1,26,0,23,11,1,0,0,8,35,10,0,15,0,0,2,13,0,0,0,8,11,11,6,7,1,2,1,1,1,6.018867924528302,1,4,3,12,106
493,5,2,29,0,24,18,2,1,0,5,30,15,1,12,0,0,5,12,0,1,1,14,13,10,3,4,0,0,3,0,2,5.991071428571429,2,1,4,10,112
494,1,4,17,1,11,4,0,0,0,2,29,19,0,8,0,0,7,3,0,0,2,3,6,12,3,1,3,0,1,1,1,5.406593406593407,1,6,2,13,91
495,0,1,29,0,18,15,0,1,0,4,29,6,0,12,0,0,3,13,0,1,0,9,9,7,3,3,1,3,2,0,1,6.311827956989247,2,3,4,8,93
496,3,1,30,0,25,20,0,0,0,10,31,16,1,13,0,0,4,10,1,0,1,7,15,8,4,9,2,0,1,0,1,5.832,0,4,4,10,125
497,6,3,29,0,27,23,0,1,0,3,24,23,1,16,0,0,7,13,0,0,2,5,4,6,3,1,2,14,3,0,1,5.385185185185185,2,4,4,15,135
498,2,1,16,0,17,12,0,1,0,0,16,12,1,11,0,0,4,8,0,0,1,7,5,8,4,5,2,1,1,0,0,6.3164556962025316,0,2,3,6,79
499,2,2,34,0,24,9,0,0,0,4,29,14,0,19,0,0,1,5,0,0,0,11,15,13,5,4,0,0,1,0,0,6.294642857142857,1,3,3,10,112
500,2,0,22,0,30,10,0,1,0,2,28,13,0,17,0,0,9,12,0,0,1,12,13,6,5,9,3,3,3,1,1,6.719298245614035,3,3,3,15,114
501,0,1,23,1,16,12,1,0,0,2,21,10,0,14,0,0,1,9,0,0,0,6,6,11,3,9,2,1,3,0,1,6.24468085106383,2,0,4,8,94
502,4,0,23,0,22,9,0,0,0,6,16,15,0,12,0,0,7,5,0,0,0,6,9,7,2,2,2,1,0,0,0,5.9743589743589745,0,4,4,10,78
503,4,1,18,1,24,13,1,1,0,4,17,27,0,12,0,0,2,13,0,0,0,7,11,12,2,7,3,3,1,1,0,6.418181818181818,2,8,3,11,110
504,1,0,14,0,10,7,1,1,0,3,12,2,0,5,0,0,5,7,0,0,0,1,6,7,2,0,0,0,1,0,1,5.642857142857143,0,0,2,6,42
505,1,0,17,0,10,18,0,0,0,3,14,14,0,7,0,0,1,7,0,0,0,5,5,6,3,2,0,0,0,0,1,5.972222222222222,0,1,3,9,72
506,3,0,19,0,9,10,0,1,0,4,17,14,0,9,0,0,3,10,0,0,0,8,8,11,2,5,0,1,1,0,0,6.246913580246914,1,2,3,10,81
507,1,0,35,0,20,18,0,1,0,8,34,10,0,10,0,0,1,5,0,0,1,5,10,6,2,4,1,0,1,0,0,6.528301886792453,1,2,4,9,106
508,3,1,24,0,20,10,0,1,0,2,31,6,0,6,0,0,9,7,0,0,0,8,5,12,5,3,0,0,0,0,1,5.814814814814815,1,1,3,10,81
509,2,1,5,0,6,3,0,1,0,1,9,4,0,1,0,0,2,5,0,0,0,1,2,4,0,5,0,1,1,0,0,6.535714285714286,0,1,1,3,28
510,2,1,25,1,20,17,0,0,0,6,23,26,0,17,0,0,5,10,1,0,2,11,12,8,3,6,3,0,0,0,1,6.448275862068965,0,5,3,8,116
511,3,0,16,1,20,10,1,0,0,5,23,13,0,12,0,0,4,10,0,0,1,4,9,7,2,8,1,3,2,0,2,6.075268817204301,2,0,3,8,93
512,3,1,22,0,19,8,0,1,0,3,21,11,0,9,0,0,2,5,0,0,0,6,6,6,6,6,0,0,1,0,0,6.5625,1,3,3,7,80
513,6,1,15,0,16,10,2,0,0,2,29,4,0,8,0,0,8,9,0,0,0,8,9,1,5,3,2,2,0,0,1,5.988372093023256,0,2,2,7,86
514,6,1,24,3,19,16,1,0,0,4,30,10,0,9,0,0,1,9,0,0,1,9,12,13,3,2,0,0,3,0,0,5.86734693877551,2,1,3,12,98
515,2,0,22,0,14,7,0,1,0,3,24,5,1,10,0,0,5,10,0,0,2,7,7,11,3,5,3,0,3,0,2,6.107142857142857,2,2,3,8,84
516,1,0,19,2,6,4,0,0,0,4,18,3,0,9,0,0,1,4,0,0,0,4,7,5,1,3,2,2,0,0,0,5.983050847457627,0,7,3,8,59
517,4,1,20,0,20,13,0,1,0,3,19,16,1,20,0,0,0,17,0,0,1,7,9,12,6,6,2,3,2,0,0,6.3931623931623935,0,5,3,11,117
518,2,0,20,2,19,13,0,0,0,0,16,4,0,17,0,0,0,7,0,0,0,4,3,10,9,2,1,1,0,0,0,6.6923076923076925,0,8,3,9,78
519,1,0,31,0,20,16,0,1,0,4,19,17,0,13,0,0,6,13,0,0,1,11,14,19,3,6,0,0,2,0,0,6.654205607476635,1,2,3,13,107
520,6,0,27,0,25,19,0,1,0,2,32,24,0,13,0,0,5,14,0,0,2,10,6,9,5,3,1,1,2,0,1,6.094017094017094,1,3,4,11,117
521,2,1,14,1,18,6,0,1,0,3,19,4,0,9,0,0,5,8,0,0,1,9,10,8,2,3,0,2,1,0,0,6.2615384615384615,1,3,3,5,65
522,0,1,23,3,18,14,0,0,0,4,24,9,0,7,0,0,4,5,1,0,0,8,10,12,3,2,0,0,0,1,1,6.0125,1,3,3,9,80
523,4,1,19,1,21,10,0,1,0,3,27,7,0,11,0,0,1,3,0,0,1,7,7,10,2,3,0,0,0,0,0,5.9753086419753085,0,0,2,8,81
524,2,2,26,1,20,15,0,1,0,4,26,7,0,10,0,0,2,9,0,0,1,7,7,11,3,7,0,1,2,0,1,6.373626373626373,2,1,4,8,91
525,5,0,17,1,16,4,0,0,0,3,24,13,1,11,0,0,2,5,0,0,2,5,7,8,1,3,1,1,1,0,0,6.293333333333333,0,1,2,7,75
526,0,2,31,0,22,9,1,0,0,3,25,23,0,14,0,0,3,9,0,0,0,10,12,10,8,5,0,3,1,0,1,6.345132743362832,0,3,3,17,113
527,1,0,24,0,18,10,0,1,0,3,25,10,0,8,0,0,2,4,0,0,0,3,6,9,6,1,0,1,0,0,0,6.32051282051282,0,0,3,11,78
528,2,0,12,0,7,1,0,0,0,5,14,0,0,7,0,0,1,2,0,0,0,7,9,6,0,5,0,1,1,0,0,6.785714285714286,1,2,2,5,42
529,1,0,8,1,7,4,0,2,0,1,9,2,0,3,0,0,3,5,0,0,0,2,3,5,1,0,1,0,1,0,0,6.064516129032258,0,4,0,4,31
530,3,0,12,0,9,8,0,1,0,2,28,15,1,13,0,0,2,3,1,0,0,9,7,7,2,5,1,1,0,0,0,6.447058823529412,0,20,3,10,85
531,1,0,21,0,15,12,2,0,0,5,27,12,0,13,0,0,0,5,0,0,0,13,15,7,5,6,2,0,0,0,1,6.677083333333333,0,2,3,10,96
532,2,2,18,0,15,12,0,0,0,2,23,6,0,12,0,0,2,4,0,0,1,6,6,9,4,4,1,0,3,0,0,6.098765432098766,1,1,2,10,81
533,4,1,27,0,23,10,0,1,0,3,27,8,0,11,0,0,6,2,0,0,1,7,9,10,5,2,1,1,0,0,1,6.2125,0,3,3,9,80
534,5,2,21,1,24,5,0,2,0,2,22,18,1,12,0,0,8,2,0,0,1,10,10,6,4,5,1,4,2,0,1,6.010752688172043,2,9,2,7,93
535,3,0,28,0,18,11,2,0,0,4,22,24,0,9,0,0,1,5,0,0,0,6,7,8,4,5,0,2,3,2,0,7.232323232323233,3,6,3,9,99
536,3,1,18,0,12,8,0,0,0,2,16,10,0,13,0,0,4,8,0,0,0,9,9,12,2,3,1,0,1,0,1,6.0394736842105265,1,2,3,8,76
537,1,0,3,0,6,2,0,0,0,1,3,7,0,4,0,0,2,3,0,0,0,1,3,4,1,0,0,0,0,0,0,5.925925925925926,0,3,2,5,27
538,7,2,29,0,25,13,0,0,0,4,34,19,1,16,0,0,4,9,0,0,1,7,11,16,1,10,1,2,1,0,0,6.617886178861789,1,1,4,12,123
539,6,0,33,0,32,16,0,1,0,4,37,13,1,17,0,0,5,13,0,0,2,12,12,17,6,8,0,1,2,0,2,6.588235294117647,1,0,4,9,136
540,1,0,21,1,18,8,0,0,0,1,20,18,0,10,0,0,5,4,0,0,0,8,8,10,3,2,1,1,0,0,1,5.629213483146067,0,10,1,7,89
541,2,1,16,1,21,12,0,1,0,3,20,10,1,10,0,0,7,9,0,0,0,8,8,9,5,2,0,3,0,0,2,6.043478260869565,1,3,4,9,92
542,2,2,26,0,24,7,1,1,0,2,30,15,1,16,0,0,4,9,0,0,1,6,7,11,4,6,2,4,2,0,2,6.108108108108108,0,3,4,9,111
543,2,0,12,2,6,7,0,0,0,2,17,3,0,5,0,0,0,3,0,0,0,7,8,6,0,3,0,0,0,0,0,6.1875,0,0,2,5,48
544,3,2,16,0,14,6,1,0,0,2,25,7,0,9,0,0,5,2,0,0,0,6,6,8,5,1,1,2,0,0,0,6.378378378378378,0,2,2,8,74
545,1,0,27,0,19,15,1,0,0,6,26,12,0,14,0,0,2,13,0,0,1,8,13,10,6,6,1,4,1,0,1,6.149122807017544,1,2,3,11,114
546,3,1,12,2,20,11,2,1,0,3,21,8,0,7,0,0,4,9,0,0,0,3,5,11,3,4,0,2,0,0,1,6.233766233766234,0,1,3,12,77
547,3,1,7,0,12,6,0,0,0,1,12,4,0,10,0,0,9,8,0,0,1,7,7,5,5,4,5,3,0,0,3,5.782608695652174,0,1,0,11,69
548,2,0,33,0,36,23,0,3,0,7,37,5,0,18,0,0,7,9,0,1,3,9,13,9,11,7,1,4,1,1,0,6.051851851851852,2,5,4,13,135
549,4,1,27,0,23,14,0,1,0,3,18,15,0,14,0,0,2,12,0,0,1,9,8,10,3,9,0,2,0,0,0,6.704761904761905,0,3,3,10,105
550,5,0,27,0,18,17,0,1,0,5,30,15,0,5,0,0,4,10,1,0,0,3,5,8,6,5,1,4,2,0,1,6.158415841584159,0,6,3,11,101
551,1,0,28,1,24,11,1,1,0,4,27,15,0,10,0,0,9,6,2,0,1,9,9,9,2,3,2,6,2,1,1,5.97979797979798,1,7,3,11,99
552,0,0,2,0,4,0,0,0,0,0,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.090909090909091,0,6,1,1,11
553,4,1,15,0,13,13,0,2,0,4,14,10,0,7,0,0,7,5,0,0,0,6,10,7,6,3,2,2,1,0,0,6.315068493150685,0,7,3,7,73
554,2,0,20,1,12,9,0,0,0,4,26,8,0,8,0,0,7,5,0,0,0,8,8,8,4,0,1,1,4,0,1,6.063291139240507,1,5,3,7,79
555,2,2,37,1,31,16,1,0,0,5,43,16,2,11,0,0,7,13,1,0,2,15,11,13,3,8,2,8,2,0,1,5.592592592592593,2,6,4,12,135
556,1,1,8,1,4,2,0,0,0,2,11,2,0,7,0,0,1,0,0,0,0,5,5,5,0,3,1,0,0,0,0,6.8,0,2,2,4,30
557,4,1,28,0,22,11,1,0,0,4,21,6,0,13,0,0,4,14,0,0,2,14,12,10,2,6,1,1,0,0,0,6.27906976744186,0,3,2,5,86
558,3,0,18,0,20,6,0,0,0,1,24,17,0,7,0,0,8,7,0,0,0,5,5,8,0,4,3,2,3,0,0,6.473684210526316,2,7,3,6,76
559,2,0,20,1,15,9,0,0,0,0,18,13,0,14,0,0,2,7,0,0,0,6,5,11,5,4,0,0,0,0,0,6.35064935064935,0,4,3,10,77
560,7,4,26,1,21,10,1,2,0,5,28,23,1,11,0,0,3,10,2,0,2,9,9,16,3,6,1,2,0,0,1,5.857142857142857,1,4,3,14,119
561,1,2,19,1,11,11,1,0,0,3,24,3,0,8,0,0,4,8,0,0,0,5,6,7,3,4,0,1,0,0,3,6.0285714285714285,0,9,3,7,70
562,5,5,30,0,24,18,0,1,0,4,35,17,0,13,0,0,7,9,0,0,0,9,7,15,3,8,0,4,0,0,0,6.574803149606299,0,7,3,15,127
563,6,1,31,0,24,18,0,2,0,6,39,10,0,12,0,0,0,10,0,1,1,4,9,9,3,4,0,1,1,0,0,5.92436974789916,1,8,4,12,119
564,2,0,22,1,27,14,1,1,0,9,21,20,1,14,0,0,5,12,0,0,0,9,16,9,5,9,0,2,1,0,1,6.293577981651376,0,9,4,12,109
565,2,1,22,1,16,7,0,2,0,6,29,5,0,6,0,0,6,9,0,0,1,5,7,6,1,3,1,3,1,0,0,5.738095238095238,0,2,2,11,84
566,1,0,23,0,14,14,0,1,0,3,21,6,0,11,0,0,2,6,0,1,0,6,8,11,2,2,0,1,4,0,1,6.189873417721519,2,0,3,10,79
567,2,1,17,0,13,9,0,1,0,2,17,10,0,6,0,0,2,3,0,0,0,3,3,7,3,1,2,0,1,0,0,5.890909090909091,0,4,3,6,55
568,1,0,16,0,14,8,1,0,0,3,13,13,0,6,0,0,3,8,0,0,0,8,10,5,1,1,0,1,0,1,0,5.955223880597015,0,2,1,6,67
569,7,0,15,0,11,8,0,0,0,1,18,6,0,7,0,0,6,5,0,0,2,9,9,6,2,1,1,2,0,2,0,6.017543859649122,2,6,1,6,57
570,2,3,25,0,21,13,0,1,0,1,27,20,0,16,0,0,9,9,0,0,0,8,6,17,4,4,0,1,0,0,2,6.1891891891891895,1,9,3,14,111
571,2,1,14,0,7,5,0,0,0,4,17,4,0,6,0,0,2,8,0,0,2,2,6,1,3,0,1,1,1,0,0,6.0576923076923075,0,10,2,5,52
572,4,0,10,0,10,3,0,0,0,0,6,17,0,5,0,0,2,1,0,0,0,4,5,7,3,4,0,0,0,0,1,6.804347826086956,0,3,1,7,46
573,0,1,17,2,19,9,0,1,0,1,23,12,0,7,0,0,1,1,0,0,0,3,3,9,0,3,1,0,0,0,0,6.029850746268656,0,1,2,8,67
574,5,3,47,0,36,19,1,0,0,7,43,14,1,20,0,0,3,13,0,0,2,14,14,15,5,7,2,2,0,1,4,6.569536423841059,2,3,4,11,151
575,6,0,33,0,16,12,0,0,0,3,31,15,0,6,0,0,4,6,0,0,1,8,8,11,2,3,2,1,1,0,2,6.489583333333333,2,4,3,10,96
576,0,0,12,0,11,9,0,0,0,2,11,3,0,6,0,0,1,6,0,0,0,5,4,7,0,3,0,1,1,0,1,6.127659574468085,1,0,3,7,47
577,3,3,35,0,20,12,2,0,0,3,30,15,0,17,0,0,4,2,0,0,0,11,11,15,0,7,1,0,1,0,1,6.584745762711864,0,3,4,16,118
578,3,0,14,1,13,5,0,2,0,4,14,7,0,9,0,0,5,9,0,0,0,3,8,4,3,1,0,3,1,0,1,6.28125,2,0,3,7,64
579,1,0,17,0,13,7,0,1,0,3,14,12,0,8,0,0,6,3,0,0,0,4,6,5,4,1,3,1,0,0,1,6.171875,0,7,3,4,64
580,0,2,11,0,8,4,0,0,0,2,9,2,0,6,0,0,2,2,0,0,0,5,4,5,0,0,1,0,0,0,0,6.142857142857143,0,0,2,4,35
581,2,3,26,0,26,5,1,1,0,2,29,22,0,16,0,0,7,7,0,0,0,8,9,15,1,2,1,0,1,1,0,6.135135135135135,1,4,2,12,111
582,1,3,41,0,30,19,0,0,0,2,66,19,0,12,0,0,5,11,0,0,1,11,9,13,4,6,3,2,1,0,1,6.184049079754601,0,9,4,16,163
583,5,0,32,1,21,13,0,2,0,2,38,8,1,12,0,0,3,12,0,0,1,10,8,13,1,8,0,5,3,1,0,6.3247863247863245,3,0,3,12,117
584,4,1,24,2,18,14,0,1,0,0,21,11,0,13,0,0,0,12,0,0,0,4,5,15,4,5,1,0,4,0,1,6.221052631578948,2,0,3,9,95
585,3,0,36,0,34,20,1,2,0,7,28,18,0,10,0,0,4,9,0,0,0,8,14,12,7,7,1,3,2,0,0,6.191304347826087,0,3,4,15,115
586,5,1,23,0,16,3,0,0,0,6,34,9,0,11,0,0,3,5,0,0,0,8,10,5,0,8,4,0,4,0,0,6.571428571428571,0,1,2,5,84
587,5,1,23,0,12,11,0,1,0,3,25,5,0,7,0,0,8,8,0,0,0,6,8,10,4,3,1,1,1,0,1,6.162790697674419,0,1,3,9,86
588,5,0,23,0,12,11,1,0,0,4,23,9,0,6,0,0,0,3,0,0,0,7,8,8,1,5,0,1,0,0,2,6.621212121212121,0,2,2,6,66
589,4,0,19,0,22,10,0,0,0,5,20,17,0,13,0,0,3,4,0,1,0,7,10,13,2,7,1,2,0,0,0,6.043010752688172,0,3,3,10,93
590,3,0,13,0,6,9,0,1,0,2,12,4,0,8,0,0,3,6,0,1,1,5,4,7,4,1,1,2,0,1,1,5.766666666666667,1,6,2,8,60
591,2,1,17,0,11,6,0,1,0,3,20,5,0,7,0,0,4,11,0,0,3,6,9,7,3,5,1,4,0,0,2,5.918918918918919,1,3,3,10,74
592,1,0,8,0,8,2,0,0,0,2,7,5,0,1,0,0,4,1,0,0,0,5,4,1,0,1,2,1,0,0,1,6.041666666666667,1,2,1,2,24
593,2,0,28,0,21,9,0,1,0,4,18,10,0,10,0,0,5,12,0,0,0,8,9,9,1,4,2,1,0,0,1,6.317647058823529,0,1,3,9,85
594,7,1,20,0,15,16,0,1,0,2,17,8,1,14,0,0,7,7,0,0,0,9,10,8,7,2,5,1,1,0,1,5.988636363636363,0,7,3,12,88
595,2,0,19,1,14,10,2,0,0,3,11,17,0,6,0,0,8,9,0,0,1,5,5,7,1,3,1,0,0,0,0,5.826086956521739,0,0,3,9,69
596,7,0,32,0,31,17,0,0,0,6,43,12,0,29,0,0,3,14,0,0,0,12,16,16,5,7,2,0,3,0,1,6.64,1,0,4,14,150
597,1,1,12,0,12,4,0,1,0,2,14,18,1,12,0,0,3,5,0,0,1,5,5,8,5,3,2,0,0,0,0,6.6438356164383565,0,6,0,7,73
598,10,5,34,0,24,18,0,0,0,5,29,19,0,16,0,0,6,6,0,0,1,12,13,12,4,4,4,5,3,1,1,6.153225806451613,1,2,2,11,124
599,5,1,25,0,18,12,1,1,0,0,29,12,0,14,0,0,6,11,1,0,1,7,4,18,7,4,0,0,1,0,0,6.435643564356436,0,1,3,10,101
600,1,1,13,0,14,6,0,0,0,1,12,2,0,4,0,0,4,6,0,0,1,2,2,10,1,1,0,1,1,1,0,6.171428571428572,2,2,2,5,35
601,3,1,35,2,25,12,1,1,0,6,33,18,0,11,0,0,8,6,1,0,0,8,10,13,2,6,2,2,1,1,0,6.171171171171171,1,8,4,14,111
602,6,2,31,1,30,17,0,1,0,5,51,14,0,14,0,0,7,6,0,0,1,11,12,12,6,9,5,2,0,0,0,6.36231884057971,0,9,4,13,138
603,5,0,29,1,23,12,0,0,0,3,39,2,0,11,0,0,3,4,0,0,1,10,12,15,2,5,0,0,3,0,0,5.84375,0,2,2,7,96
604,3,3,30,2,15,7,0,2,0,4,32,17,2,13,0,0,3,6,0,0,0,9,8,12,1,5,1,1,1,0,2,6.235849056603773,2,0,3,12,106
605,0,0,11,0,6,6,0,1,0,2,14,7,0,6,0,0,4,6,0,0,1,5,6,7,2,2,0,0,1,0,1,6.653061224489796,0,6,2,6,49
606,1,0,28,1,22,11,1,2,0,3,31,13,0,10,0,0,3,7,3,0,0,3,6,8,1,2,3,0,1,0,0,6.318681318681318,0,8,2,9,91
607,1,2,10,1,7,5,0,0,0,0,15,7,0,2,0,0,3,0,0,0,1,3,3,5,1,0,1,0,0,0,0,5.684210526315789,0,1,1,6,38
608,4,2,36,0,26,11,0,0,0,1,34,20,0,15,0,0,3,8,0,0,1,5,4,12,10,6,1,5,0,0,0,6.5210084033613445,0,1,2,14,119
609,3,1,19,2,18,19,1,2,0,3,18,6,0,11,0,0,7,7,0,0,1,8,8,4,4,1,3,2,4,0,0,5.806818181818182,2,4,3,8,88
610,2,1,19,0,19,14,0,0,0,3,19,15,0,12,0,0,1,4,0,0,1,5,7,7,8,2,0,1,1,0,0,6.224719101123595,1,2,3,10,89
611,0,0,13,0,12,9,0,2,0,1,15,8,0,8,0,0,0,4,0,0,0,3,1,7,4,4,0,0,1,0,0,6.189655172413793,1,4,2,7,58
612,0,1,36,0,31,12,0,0,0,2,27,22,1,15,0,0,2,9,0,0,1,5,4,12,3,4,1,1,2,0,4,6.135135135135135,2,2,4,10,111
613,3,0,31,2,27,20,0,1,0,6,28,18,1,10,0,0,5,14,0,2,2,5,8,9,6,6,1,3,2,0,1,6.182608695652174,1,5,4,14,115
614,7,1,33,0,26,16,0,1,0,4,33,12,0,12,0,0,8,14,0,0,0,6,6,18,6,13,3,1,1,0,1,5.879032258064516,1,1,3,12,124
615,1,0,13,2,8,7,0,0,0,1,13,20,0,7,0,0,4,6,0,0,0,4,4,9,2,4,1,0,1,0,0,6.101449275362318,0,4,1,9,69
616,4,3,39,0,37,13,1,1,0,6,45,39,0,19,0,0,2,13,0,0,0,8,11,20,3,18,1,0,2,0,1,6.462857142857143,1,4,4,14,175
617,3,0,26,1,14,12,0,0,0,2,18,6,0,13,0,0,2,5,0,0,0,5,5,11,7,4,1,0,1,0,1,6.342105263157895,0,0,3,9,76
618,1,0,17,1,15,11,0,0,0,1,20,4,0,9,0,0,6,5,0,0,0,4,2,14,1,0,2,0,0,3,3,6.34375,3,3,2,9,64
619,1,1,24,0,19,16,0,1,0,4,26,13,0,14,0,0,1,8,0,0,1,7,8,8,3,3,0,0,1,0,1,5.979381443298969,1,0,4,9,97
620,6,1,25,1,18,10,0,0,0,3,24,9,0,17,0,0,3,9,0,0,0,7,8,9,4,5,1,0,0,0,1,6.4646464646464645,1,1,3,11,99
621,2,2,24,0,17,9,0,1,0,1,23,12,0,17,0,0,1,3,0,0,0,2,0,8,5,2,0,0,1,0,0,6.333333333333333,1,3,3,8,84
622,0,0,21,0,17,3,1,1,0,1,20,24,0,5,0,0,6,4,0,0,0,7,8,9,3,5,2,1,0,0,1,6.36144578313253,0,1,0,12,83
