,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
455,18,3,35,3,45,20,0,3,11,37,2,1,30,0,29,24,0,0,3,13,0,28,0,5,6,25,1,1,3,1,5.116959064327485,3,3,3,14,171
456,4,0,26,0,13,13,1,0,7,22,10,0,9,0,15,11,0,0,0,3,0,9,3,1,0,6,2,1,0,0,5.846153846153846,0,11,2,7,78
457,13,3,19,2,23,14,0,0,13,33,7,1,21,0,27,15,0,0,8,7,0,25,3,5,3,13,6,3,4,3,4.688741721854305,4,24,2,20,151
458,13,0,16,0,45,21,2,0,7,41,9,0,38,0,35,10,0,0,0,11,0,20,1,2,4,28,4,2,4,1,5.274725274725275,5,4,4,19,182
459,9,0,9,0,19,6,0,0,2,27,5,0,11,0,14,9,0,0,0,4,0,12,0,2,8,7,4,0,0,0,4.990291262135922,0,13,3,12,103
460,26,0,24,3,36,22,1,1,14,24,0,0,28,0,33,26,1,0,7,9,0,23,9,4,9,21,3,5,1,0,4.674556213017752,1,13,3,7,169
461,9,2,16,1,26,20,0,1,4,31,3,0,25,0,24,13,0,0,1,6,0,9,4,2,5,23,6,3,1,4,4.633986928104576,1,7,3,15,153
462,22,1,54,2,72,29,0,1,10,69,18,0,54,0,36,35,0,0,5,26,0,30,10,13,7,16,17,1,6,0,5.838383838383838,6,22,4,27,297
463,18,1,34,2,33,19,0,0,19,49,5,1,16,0,20,27,0,0,2,9,0,27,3,2,3,12,5,2,2,3,5.114942528735632,3,9,2,16,174
464,0,1,1,0,1,0,0,0,0,0,321,3,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,3.9972299168975067,0,13,4,23,361
465,24,3,36,0,49,34,3,0,10,67,25,1,50,0,54,32,1,1,3,20,0,30,8,9,17,35,19,2,4,5,5.315028901734104,5,22,4,37,346
466,13,2,26,0,48,23,1,0,12,52,6,0,27,0,29,17,1,0,4,20,0,33,2,2,7,18,11,0,5,0,5.358695652173913,5,2,4,16,184
467,14,5,21,3,45,16,1,0,13,59,10,0,20,0,29,29,0,1,2,13,0,25,11,3,19,18,8,3,4,0,5.504761904761905,4,11,4,17,210
468,25,3,36,1,54,30,0,1,10,66,10,1,24,0,51,28,0,0,3,13,0,27,9,9,5,17,10,1,2,1,5.558333333333334,2,7,4,18,240
469,24,3,37,1,70,33,2,0,7,66,32,0,35,1,62,29,0,0,1,17,0,19,54,10,20,21,5,0,1,5,5.092957746478874,1,33,4,44,355
470,15,1,31,0,55,16,0,2,5,50,13,0,41,0,39,19,0,0,2,8,0,15,1,8,11,33,10,2,5,0,4.637992831541219,6,7,3,22,279
471,21,3,53,3,45,36,4,0,15,60,6,1,35,0,46,28,1,0,2,26,0,39,2,6,7,25,15,3,4,2,5.437735849056604,5,18,4,27,265
472,11,5,35,0,31,21,4,2,4,34,17,1,31,0,16,7,0,0,3,12,0,18,9,3,11,13,6,1,2,5,5.408536585365853,3,29,3,13,164
473,6,3,37,1,39,19,1,0,9,65,3,0,14,0,21,21,0,0,1,12,0,16,11,5,7,5,12,2,3,1,5.291666666666667,3,5,4,21,192
474,22,2,37,0,45,28,0,1,9,62,11,1,28,0,32,19,1,0,1,21,0,27,9,3,20,23,14,4,5,2,5.129310344827586,4,12,3,21,232
475,15,1,24,1,50,19,1,1,12,37,5,0,43,0,44,24,0,0,2,8,0,23,2,12,10,29,6,0,8,1,5.263681592039801,8,3,4,15,201
476,5,0,10,1,14,11,0,0,6,10,3,0,16,0,11,6,0,0,0,3,0,12,1,0,5,9,1,2,1,0,5.915492957746479,1,6,2,9,71
477,9,1,32,3,38,24,0,0,13,44,14,2,26,0,23,21,0,0,2,23,0,37,1,11,8,11,7,0,1,2,5.8585365853658535,1,28,3,22,205
478,13,1,25,1,34,21,2,0,12,38,4,0,21,0,32,24,0,0,0,7,0,21,9,5,2,11,11,0,2,2,5.628048780487805,3,20,3,17,164
479,18,0,15,1,26,15,2,0,4,38,15,0,15,0,23,18,5,0,2,13,0,16,2,9,7,10,10,0,1,1,6.0,1,28,3,13,149
480,25,0,25,0,67,10,0,0,12,44,15,0,30,0,73,34,0,0,3,24,0,44,6,12,4,38,8,0,9,4,4.646586345381526,12,17,4,20,249
481,6,1,40,3,46,18,2,0,11,38,2,2,30,0,44,26,0,0,3,14,0,25,2,0,8,34,5,5,3,5,4.824468085106383,8,10,3,22,188
482,26,4,67,1,65,27,8,1,5,88,27,0,40,0,21,15,0,0,1,14,0,17,1,12,10,18,18,2,4,3,5.8979591836734695,5,29,4,27,294
483,3,4,15,0,21,18,1,0,4,26,12,0,17,1,13,13,1,0,1,4,0,7,2,2,5,8,6,0,3,3,5.736363636363636,4,5,3,17,110
484,28,1,25,0,35,13,0,0,11,40,2,0,34,0,53,19,0,0,0,12,0,22,4,1,2,28,3,1,3,7,4.663265306122449,6,12,3,15,196
485,4,2,17,1,22,14,0,0,9,29,1,1,20,0,14,3,0,0,0,1,0,11,1,4,3,13,5,2,0,0,5.301587301587301,0,7,3,14,126
486,12,0,50,0,55,33,1,1,14,87,23,0,47,0,49,19,0,0,1,23,0,35,13,11,17,29,18,3,1,3,5.364179104477612,1,21,4,34,335
487,7,0,17,0,26,8,0,0,11,22,4,0,21,0,17,8,0,0,2,5,0,15,2,0,12,9,1,0,1,1,5.3076923076923075,2,12,3,11,104
488,11,0,24,2,25,12,1,0,3,38,17,0,15,0,16,14,0,0,1,7,0,8,3,6,5,18,11,3,4,2,5.567741935483871,3,21,3,14,155
489,16,1,36,1,64,35,0,0,5,75,14,0,37,0,48,27,2,0,3,23,0,28,6,7,17,35,19,5,6,0,5.343537414965986,4,11,4,30,294
490,15,6,40,3,39,39,3,1,10,48,10,0,42,0,14,16,2,0,0,14,0,20,4,8,6,9,12,4,4,0,5.638392857142857,4,7,4,19,224
491,20,6,48,1,65,29,4,0,11,65,12,1,50,0,37,18,1,1,3,7,0,21,5,20,5,35,12,2,5,2,5.224199288256227,5,20,4,21,281
492,22,1,57,0,66,32,1,1,10,83,27,0,45,0,52,22,0,0,3,11,0,28,8,14,6,38,16,7,5,8,3.8044444444444445,6,24,4,35,450
493,6,4,35,0,57,25,0,0,8,39,10,1,37,1,35,18,1,0,4,9,0,14,4,6,1,21,7,2,4,5,5.136842105263158,9,14,3,14,190
494,5,3,26,4,29,15,0,1,8,37,0,0,19,0,11,12,1,0,1,4,0,11,2,5,1,12,4,3,0,2,4.595588235294118,2,15,3,10,136
495,0,0,5,0,3,3,2,0,0,3,0,0,9,0,1,2,0,0,0,1,0,1,0,1,0,5,1,0,0,0,5.884615384615385,0,6,2,4,26
496,17,3,35,6,47,46,0,2,17,58,12,1,61,1,37,20,0,0,0,15,0,29,3,6,8,25,20,0,10,5,5.501661129568106,12,6,4,35,301
497,4,0,23,2,22,11,0,0,6,30,1,1,18,0,16,7,2,0,0,2,0,10,0,1,4,14,6,3,1,2,4.973214285714286,2,5,2,12,112
498,12,1,31,0,64,29,2,5,16,57,10,1,54,0,29,24,0,0,3,15,0,24,1,10,14,20,9,4,0,1,5.726190476190476,2,15,3,20,252
499,24,2,29,0,53,26,1,0,15,39,9,0,56,0,37,14,0,0,3,6,0,28,5,6,9,26,5,5,2,3,4.496,5,30,3,11,250
500,13,0,31,10,43,21,1,2,13,50,5,1,41,0,22,31,0,0,1,23,0,38,2,6,5,25,8,8,1,0,4.7447698744769875,1,6,2,24,239
501,5,0,15,2,16,13,0,0,8,19,3,1,14,0,14,4,0,0,2,12,0,17,2,2,8,9,7,0,1,2,5.4526315789473685,3,5,3,12,95
502,17,0,23,1,30,23,1,0,6,26,7,1,35,0,24,15,1,1,1,16,0,10,5,8,2,13,10,0,9,7,5.326388888888889,12,12,3,14,144
503,9,0,30,1,30,17,1,2,5,32,2,0,30,0,22,18,0,0,2,12,0,12,0,4,5,20,8,2,0,2,5.172413793103448,2,3,4,12,145
504,11,0,38,1,38,20,2,0,15,44,2,0,31,0,11,9,0,0,1,6,0,23,1,2,6,8,1,0,0,1,5.3580246913580245,1,4,3,12,162
505,22,0,43,1,54,28,5,0,6,39,17,0,56,0,34,27,5,0,4,17,0,29,3,5,10,39,10,2,8,2,5.657370517928287,8,8,4,27,251
506,9,0,13,0,37,13,2,0,6,18,6,0,28,0,25,14,0,0,1,9,0,23,1,6,5,15,2,0,4,0,5.118881118881119,4,13,3,11,143
507,19,1,39,1,53,35,1,1,13,56,19,2,51,0,37,23,0,0,6,21,0,37,6,9,15,32,11,4,5,2,5.897810218978102,5,26,4,27,274
508,4,0,11,0,16,7,0,0,2,13,2,0,3,0,12,7,0,0,0,4,0,6,1,0,2,7,8,1,2,0,5.78,2,4,1,5,50
509,14,2,53,4,46,28,4,1,14,75,16,0,35,0,40,29,2,0,1,15,0,28,3,6,10,24,32,2,7,2,5.518032786885246,6,20,4,45,305
510,9,2,46,2,52,17,5,0,20,44,3,0,33,0,27,23,2,0,4,6,0,22,4,14,1,12,5,2,1,0,5.240384615384615,1,12,3,18,208
511,11,1,18,0,22,14,0,0,8,26,7,0,20,1,21,4,0,0,1,5,0,17,7,0,3,5,2,1,1,1,5.858585858585859,2,4,3,8,99
512,6,0,38,1,48,13,2,0,5,50,5,0,29,0,21,24,0,0,0,12,0,17,1,7,11,21,6,3,2,2,5.369047619047619,3,14,4,13,168
513,4,0,6,1,12,7,0,0,3,15,4,0,5,0,11,11,0,0,1,3,0,8,3,1,5,3,2,0,3,1,4.966666666666667,4,5,2,7,60
514,19,6,80,7,90,27,2,0,28,96,10,0,41,0,57,31,1,0,4,17,0,51,11,9,26,32,22,9,7,11,4.784366576819407,15,20,4,27,371
515,4,0,4,0,5,4,1,0,5,12,2,0,6,0,11,5,0,0,4,1,0,9,0,1,2,8,1,0,0,1,4.981132075471698,0,4,2,7,53
516,12,0,24,2,37,7,1,1,8,25,13,1,26,0,32,13,1,1,3,8,0,17,6,8,11,17,6,0,1,6,2.8970588235294117,1,27,2,21,272
517,16,4,26,1,33,19,2,0,11,29,7,1,34,0,28,19,0,0,5,10,0,22,1,4,13,16,2,0,6,0,5.137362637362638,6,8,4,20,182
518,6,1,41,1,42,25,1,3,9,52,9,0,17,0,43,15,0,0,2,20,0,22,5,3,10,27,3,6,5,2,4.203007518796992,4,18,4,16,266
519,10,0,39,0,42,17,1,0,13,42,18,0,30,1,45,21,0,0,5,10,0,24,10,4,10,13,14,2,0,1,4.9502487562189055,0,19,3,24,201
520,8,3,57,2,36,12,1,0,18,54,1,0,35,1,24,18,0,0,2,17,0,33,2,4,2,19,4,5,3,0,5.005181347150259,4,10,4,13,193
521,58,1,48,0,42,17,2,0,16,39,5,0,85,0,29,10,0,0,0,8,0,21,5,5,3,22,8,2,5,9,5.627118644067797,10,10,2,8,236
522,10,1,10,2,29,7,0,0,5,21,9,0,7,0,26,5,1,0,1,8,0,13,2,0,1,9,8,1,2,1,4.875,3,2,2,10,88
523,18,2,45,3,53,17,0,1,10,52,17,0,30,0,42,18,0,0,0,14,0,29,6,6,11,22,13,1,4,3,5.517094017094017,6,21,4,21,234
524,16,0,28,1,26,10,1,0,7,53,13,0,13,0,31,36,0,0,2,12,0,32,0,6,7,18,19,5,2,4,5.394444444444445,3,12,3,19,180
525,3,1,14,1,24,15,0,0,6,30,5,0,7,0,11,13,0,0,0,8,0,13,5,1,8,5,13,1,2,2,6.297029702970297,2,4,3,13,101
526,10,1,28,2,34,15,2,0,16,40,3,0,9,0,60,32,3,0,1,10,0,25,7,5,8,23,13,3,4,1,4.230392156862745,4,22,4,22,204
527,10,0,15,1,24,12,0,0,7,15,2,0,17,1,21,19,0,0,0,1,0,12,0,1,5,24,4,1,4,0,4.90625,4,15,3,10,96
528,12,0,31,1,36,15,5,0,8,43,2,0,29,0,37,19,0,0,1,22,0,27,2,6,9,26,16,3,6,3,5.285,9,1,4,21,200
529,15,0,28,0,39,15,5,0,12,45,11,0,33,0,40,15,1,0,5,12,0,30,3,4,8,18,9,2,5,1,5.295774647887324,3,15,4,25,213
530,8,2,39,0,36,22,0,1,9,54,15,0,24,0,28,13,1,0,1,22,0,28,6,10,5,6,19,6,3,9,5.427230046948357,3,15,3,17,213
531,21,1,52,1,73,33,1,2,6,70,24,2,63,0,66,33,0,0,2,16,0,23,1,17,11,53,15,3,3,1,5.476964769647696,4,15,5,41,369
532,11,8,26,0,35,10,2,0,7,53,15,0,31,0,22,3,0,0,2,4,0,11,11,3,3,12,5,3,1,3,5.518072289156627,4,49,3,11,166
533,24,0,39,3,33,33,0,0,15,32,8,1,47,1,24,20,0,0,2,14,0,29,4,4,2,18,5,3,1,4,5.23469387755102,3,10,3,16,196
534,18,0,36,2,62,29,0,0,13,53,13,0,37,0,41,25,2,0,3,11,0,32,5,5,12,22,16,2,7,3,5.5085470085470085,10,17,4,16,234
535,9,2,30,2,39,18,2,2,6,38,7,1,29,0,32,23,0,0,0,8,0,9,20,5,5,15,3,1,1,1,4.748815165876778,1,5,3,22,211
536,9,5,44,2,61,15,2,2,5,50,8,0,23,0,35,17,0,0,6,20,0,20,21,9,14,11,10,4,2,5,5.032863849765258,5,9,4,7,213
537,10,0,27,3,37,14,4,2,10,43,7,1,26,0,12,10,0,0,1,4,0,20,0,4,11,7,10,1,6,3,5.870967741935484,7,12,3,13,155
538,12,2,52,0,61,25,0,0,11,58,8,0,64,0,28,41,1,0,3,32,0,39,4,7,19,39,16,4,11,3,5.015873015873016,13,9,4,30,315
539,5,2,4,1,10,7,0,0,3,12,2,1,12,0,7,3,0,0,0,4,0,6,0,1,1,7,1,2,0,1,4.833333333333333,0,5,2,6,60
540,15,4,23,2,50,26,0,1,6,47,8,1,43,0,30,22,0,1,1,10,0,17,1,2,8,31,10,2,5,3,5.25764192139738,6,18,4,19,229
541,18,3,51,0,42,32,2,2,10,65,10,1,30,0,74,28,0,0,1,28,0,31,16,5,16,31,16,4,7,9,4.683006535947713,10,27,4,31,306
542,25,0,56,1,66,29,3,0,14,86,4,0,38,0,45,24,0,0,4,19,0,32,0,15,13,25,23,3,7,3,6.212230215827338,7,15,4,8,278
543,14,0,41,0,38,16,2,2,13,38,11,0,26,0,25,12,0,0,5,5,0,19,8,5,13,19,6,4,2,0,5.7371428571428575,2,7,4,21,175
544,14,3,31,0,26,18,0,1,5,52,11,0,22,0,26,15,0,0,2,8,0,13,1,0,4,15,7,0,2,1,5.58659217877095,3,7,3,22,179
545,29,5,45,0,67,31,1,0,7,71,17,0,55,0,39,23,2,2,5,19,0,17,5,28,11,32,18,6,3,6,5.352750809061488,3,19,4,23,309
546,17,2,28,2,35,25,0,0,8,36,18,1,30,0,16,11,0,0,0,16,0,22,2,3,18,14,11,2,4,1,5.027906976744186,3,9,4,20,215
547,13,3,51,3,46,20,1,0,12,57,5,0,44,0,30,21,2,0,0,14,0,30,4,9,12,23,8,7,1,4,5.607758620689655,2,20,3,21,232
548,16,0,22,1,34,21,1,0,4,15,2,0,38,0,46,13,1,0,0,20,0,31,1,1,3,29,4,1,2,3,4.798816568047338,3,8,3,15,169
549,30,3,21,3,55,28,0,1,7,27,7,0,51,1,44,20,0,0,1,21,0,27,7,5,12,39,5,2,1,2,4.922077922077922,1,16,4,16,231
550,18,0,52,1,49,37,1,0,17,56,7,1,57,0,45,35,1,1,2,14,0,28,6,13,11,24,5,5,6,4,5.391608391608392,9,16,4,25,286
551,26,0,41,2,54,33,0,1,24,47,14,1,56,0,28,35,0,0,0,15,0,38,3,1,13,19,15,2,7,1,5.721311475409836,6,6,4,30,244
552,20,2,34,0,41,20,1,0,8,70,15,0,27,0,43,29,2,0,2,18,0,35,12,9,10,17,10,2,4,2,5.793248945147679,5,17,4,18,237
553,24,3,56,2,62,39,5,2,12,87,17,1,52,0,35,40,2,0,10,16,0,32,8,12,22,23,18,2,7,3,5.747774480712166,6,25,4,24,337
554,6,0,13,2,33,18,0,1,19,21,2,1,30,0,17,16,0,0,4,9,0,22,1,3,13,14,4,5,1,0,5.5608108108108105,1,0,3,12,148
555,21,2,26,4,34,18,1,0,6,35,11,0,42,0,20,18,1,0,1,14,0,18,0,3,1,18,8,7,1,2,5.288043478260869,2,10,4,14,184
556,22,0,34,2,58,17,0,0,20,57,3,0,18,0,47,30,0,0,5,13,0,36,3,5,10,26,7,5,3,4,4.923076923076923,4,4,3,15,221
557,31,0,46,2,52,12,1,3,10,50,12,0,26,1,49,25,0,0,6,10,0,23,4,6,5,33,9,4,2,2,4.586046511627907,1,30,3,21,215
558,7,1,24,0,31,11,0,0,8,30,2,0,15,0,34,14,0,0,1,5,0,15,18,7,8,10,5,1,0,3,5.084507042253521,1,3,3,16,142
559,23,1,49,0,69,34,2,1,7,64,28,1,73,0,42,23,0,0,3,25,0,32,4,7,4,29,18,2,9,3,5.946107784431137,11,15,4,34,334
560,15,0,20,1,42,21,0,0,15,42,7,1,28,0,41,27,1,0,0,19,0,32,4,2,9,29,15,4,3,3,4.069767441860465,4,31,3,20,258
561,28,7,83,1,126,56,1,2,22,131,17,0,67,0,54,65,1,0,7,39,0,64,9,6,25,27,25,2,7,2,5.9911111111111115,8,8,4,36,450
562,14,0,39,0,58,18,1,0,5,58,8,0,25,0,51,18,0,0,3,20,0,24,6,6,9,31,9,2,5,3,5.122171945701357,7,19,3,24,221
563,11,0,39,4,55,21,0,0,11,39,30,0,37,0,51,21,1,0,2,7,0,18,3,1,13,36,15,2,1,4,4.285171102661597,2,35,4,31,263
564,24,2,54,1,52,23,0,0,7,76,15,0,54,0,40,11,0,0,2,13,0,22,15,4,15,23,9,0,11,4,5.180769230769231,10,25,4,23,260
565,9,0,20,3,32,8,1,0,9,31,2,1,11,0,20,15,0,0,5,11,0,20,7,2,6,9,4,3,0,0,4.3277310924369745,1,3,3,8,119
566,7,0,29,1,35,11,0,0,5,46,24,0,12,0,37,9,0,0,0,9,0,15,13,3,16,26,5,6,2,3,6.211764705882353,5,13,4,21,170
567,34,0,41,2,68,32,3,0,10,72,14,0,42,0,73,26,1,0,2,15,0,30,1,16,11,56,11,1,7,6,4.187341772151899,7,12,4,42,395
568,34,0,66,4,82,31,0,1,13,113,27,0,67,0,77,36,0,0,4,37,0,50,4,16,20,56,20,6,8,4,5.762979683972912,9,14,4,51,443
569,14,2,29,4,34,25,2,1,14,41,20,1,35,0,24,24,1,0,0,12,0,24,4,1,6,25,3,4,1,3,4.725738396624473,4,31,4,22,237
570,9,2,32,0,44,14,2,1,20,50,10,0,30,0,22,25,0,0,1,16,0,32,0,2,12,10,11,1,9,2,5.459595959595959,9,6,3,22,198
571,16,1,35,0,40,23,1,0,11,41,17,0,28,0,22,12,0,0,2,6,0,18,4,6,11,16,14,4,0,3,5.105263157894737,0,27,4,14,190
572,15,2,44,3,68,21,1,0,11,62,13,0,45,0,71,36,1,1,2,23,0,33,2,15,7,41,15,7,7,12,5.173913043478261,9,8,4,29,299
573,28,3,84,4,81,45,0,0,23,90,6,0,39,0,55,54,0,0,7,27,0,45,5,7,22,33,43,15,7,8,5.159663865546219,9,16,3,27,357
574,17,0,30,0,40,21,3,3,14,43,6,0,30,0,34,19,0,0,1,12,0,24,2,11,2,14,11,1,0,3,4.863207547169812,0,14,3,17,212
575,9,3,20,3,32,11,0,1,6,21,2,1,30,0,28,15,1,0,3,14,0,19,4,4,2,21,2,3,4,0,5.01360544217687,5,5,3,13,147
576,8,0,29,4,46,17,1,3,15,47,2,0,16,0,41,29,0,0,6,10,0,28,1,4,8,22,6,1,1,4,4.946078431372549,2,2,3,21,204
577,26,6,42,0,79,15,1,0,12,84,10,0,30,0,67,30,0,0,4,15,0,31,16,9,14,14,25,7,3,5,5.204379562043796,4,16,4,21,274
578,4,0,6,0,3,3,0,0,1,8,0,0,9,0,12,4,0,0,0,6,0,6,1,1,2,3,1,0,1,1,4.02,2,3,1,5,50
579,14,0,26,3,33,20,1,0,7,44,8,1,37,0,32,18,2,0,2,13,0,19,2,2,9,15,7,3,2,2,5.820359281437126,1,10,3,19,167
580,9,1,22,0,46,15,0,0,12,32,4,0,24,0,40,26,0,0,1,7,0,24,3,7,3,18,10,3,2,1,5.10126582278481,2,10,3,10,158
581,24,1,84,8,82,35,0,2,12,109,13,0,57,0,70,52,2,0,3,22,0,30,1,15,10,40,24,5,5,3,4.994490358126722,6,39,3,51,363
582,13,2,33,0,55,19,0,1,12,63,12,0,37,0,44,23,0,0,6,18,0,30,2,10,6,28,7,1,1,1,4.962025316455696,1,11,3,27,237
583,9,3,14,1,41,17,0,0,11,43,2,1,19,0,22,8,0,0,1,7,0,20,1,5,8,13,5,1,3,1,5.461538461538462,3,4,3,13,143
584,14,0,18,4,39,28,1,0,6,31,6,0,30,0,33,18,0,0,1,7,0,13,2,1,4,30,3,2,0,0,4.701086956521739,0,13,3,18,184
585,14,4,34,0,56,14,3,0,10,60,8,0,25,0,40,30,0,0,2,17,0,27,6,7,4,14,20,0,6,2,4.794979079497908,6,8,3,28,239
586,15,0,40,1,41,29,2,1,6,42,5,0,44,0,25,12,1,0,0,11,0,18,11,7,10,14,7,1,2,2,5.06046511627907,2,10,4,21,215
587,14,1,27,2,53,18,0,2,6,44,34,0,35,0,49,20,2,0,3,13,0,17,12,2,11,28,10,3,4,4,5.495901639344262,7,36,4,21,244
588,21,1,24,0,47,23,3,0,16,48,4,0,40,0,32,17,2,0,1,10,0,34,3,7,7,17,4,1,0,3,4.95,0,16,4,16,220
589,12,0,29,8,53,23,1,0,21,48,10,0,53,0,26,15,1,0,2,14,0,34,1,6,13,40,6,13,2,1,5.047008547008547,3,13,4,26,234
590,15,2,32,0,36,21,0,0,7,59,10,1,27,0,33,11,0,0,3,15,0,20,2,1,5,21,9,3,3,3,5.390625,3,10,5,18,192
591,24,2,35,4,37,22,0,0,6,52,7,0,33,1,34,26,1,0,0,16,0,24,0,9,14,18,14,0,3,2,6.052132701421801,5,10,3,25,211
592,13,4,66,3,53,33,1,0,12,86,28,0,33,0,33,36,0,0,0,29,0,36,1,9,11,14,22,7,6,1,5.312676056338028,8,10,5,37,355
593,10,2,36,2,34,23,0,0,6,58,20,0,23,0,25,22,0,0,1,14,0,20,2,3,9,21,13,1,2,2,4.761261261261262,3,23,4,20,222
594,11,1,25,0,30,13,5,3,10,49,2,0,17,0,34,11,1,0,4,11,0,23,0,4,1,22,9,5,5,0,4.79054054054054,5,20,2,1,148
595,22,1,28,7,55,20,0,1,13,58,13,0,36,0,41,36,0,0,3,22,0,36,4,5,19,21,16,7,1,0,5.0661764705882355,2,6,4,28,272
596,10,1,20,2,47,21,0,1,5,46,20,0,29,0,22,14,1,0,0,7,0,9,4,5,6,11,17,2,1,3,5.882978723404255,3,17,4,19,188
597,44,4,99,9,130,48,4,0,44,134,6,2,54,2,69,68,1,0,10,44,0,88,8,12,18,26,21,18,6,5,4.96652719665272,8,35,3,31,478
598,9,0,20,1,28,13,0,0,6,29,4,0,17,0,32,15,0,0,3,3,0,10,1,7,4,20,5,2,5,0,4.295774647887324,5,9,3,13,142
599,20,0,26,2,35,20,1,0,8,38,10,1,46,0,38,28,0,0,1,11,0,19,5,8,9,38,2,4,5,3,5.2727272727272725,6,12,4,19,231
600,3,2,39,3,39,30,0,0,16,52,10,0,23,0,30,15,0,0,3,17,0,30,4,4,6,20,11,2,4,5,5.140845070422535,6,19,4,25,213
601,24,5,38,3,65,28,4,2,13,69,36,0,52,0,47,24,4,0,0,21,0,30,7,10,9,22,10,1,1,7,5.229166666666667,4,43,4,30,336
602,14,0,17,3,26,15,2,0,12,28,2,0,31,0,22,12,0,0,1,7,0,25,0,4,3,23,6,3,6,1,4.9144736842105265,6,24,3,16,152
603,28,1,34,4,61,26,1,1,9,46,1,0,44,1,41,20,0,0,0,10,0,18,3,10,6,40,10,7,2,3,4.7280334728033475,2,24,3,25,239
604,12,0,14,1,23,6,0,0,2,26,6,0,8,0,18,13,0,0,1,7,0,11,2,4,3,10,1,0,2,1,5.505376344086022,2,14,3,6,93
605,12,0,13,0,32,24,0,0,9,26,13,0,12,0,39,11,0,0,0,8,0,21,23,5,6,11,7,3,7,3,5.246478873239437,8,14,3,13,142
606,3,3,32,0,29,11,0,0,7,44,13,0,12,0,10,10,0,2,0,9,0,12,1,2,8,10,9,0,2,4,4.649122807017544,4,10,4,19,171
607,19,0,36,2,43,18,0,0,17,41,3,0,20,0,45,16,1,0,7,7,0,23,1,1,2,25,5,3,1,4,4.308988764044944,2,12,3,18,178
608,14,4,21,0,35,17,2,0,13,30,7,0,17,0,34,21,0,0,1,20,0,37,12,3,6,20,1,4,6,2,2.4746268656716417,6,5,3,9,335
609,9,0,13,1,31,13,0,0,4,20,3,0,14,0,18,5,0,0,1,5,0,8,0,5,1,11,5,0,1,2,5.172839506172839,1,6,3,4,81
610,3,0,24,2,24,6,1,0,12,35,1,0,8,0,28,14,1,0,2,13,0,25,3,4,6,19,5,5,0,0,4.170940170940171,0,36,2,14,117
611,15,1,54,2,69,28,1,0,5,77,22,0,31,0,36,30,0,0,3,29,0,27,17,19,18,12,35,3,7,7,5.333333333333333,7,18,4,31,315
612,26,2,30,1,78,23,3,0,13,61,7,0,38,0,59,28,1,0,3,20,0,43,15,7,11,36,7,3,11,2,4.935483870967742,11,59,2,19,279
613,21,2,45,6,48,30,1,0,18,63,37,0,39,1,30,14,1,0,9,4,0,25,12,4,13,20,17,3,6,2,5.475352112676056,9,31,3,26,284
614,8,0,30,9,33,21,1,2,12,37,6,0,22,0,6,21,0,0,1,10,0,19,6,2,7,8,11,3,2,2,5.54054054054054,4,17,3,15,148
615,18,1,38,1,44,24,0,1,11,35,12,1,49,0,44,16,0,0,2,17,0,22,3,4,8,27,9,2,2,3,5.0265486725663715,2,10,4,18,226
616,28,1,42,0,70,61,1,0,47,83,5,1,93,0,49,42,0,0,1,33,0,65,1,12,9,38,21,7,5,9,5.011337868480726,12,49,4,28,441
617,18,4,38,5,45,21,0,0,9,47,33,1,55,0,26,20,2,0,8,15,0,27,21,6,8,24,7,3,7,7,5.487544483985765,9,36,4,26,281
618,30,2,63,4,73,29,2,1,20,104,36,0,47,0,77,29,1,0,8,27,0,51,3,12,11,43,14,3,7,8,4.694656488549619,10,35,4,36,393
619,2,1,19,0,21,7,0,0,11,10,2,0,25,0,8,16,0,0,1,4,0,17,0,3,2,8,1,0,0,1,4.119565217391305,1,3,2,11,92
620,11,1,31,7,31,14,2,0,10,37,2,0,26,0,22,11,0,0,4,11,0,20,5,6,12,22,9,3,1,4,5.412903225806452,5,2,3,16,155
621,27,1,33,5,29,19,1,0,7,35,5,0,19,1,56,15,2,0,3,17,0,20,6,9,3,24,2,0,5,9,5.023668639053255,12,17,3,12,169
622,10,0,27,1,37,16,3,0,14,35,5,0,27,0,43,36,0,0,0,11,0,36,1,5,3,22,13,5,4,8,4.63,12,3,4,21,200
623,18,3,71,1,55,44,0,2,20,75,11,2,51,1,14,36,2,0,0,17,0,39,1,11,22,21,22,6,1,2,6.0198675496688745,4,8,4,28,302
624,9,4,37,2,34,5,1,0,7,52,2,0,10,0,17,20,0,0,1,10,0,24,0,4,0,7,20,1,4,0,4.301369863013699,4,19,3,9,146
625,5,1,20,0,29,6,0,0,10,18,2,0,11,0,38,25,0,0,4,13,0,22,8,0,3,6,5,2,1,2,4.008928571428571,1,1,2,13,112
626,8,1,24,3,32,12,3,0,16,34,0,0,12,0,21,15,1,0,2,6,0,21,3,2,3,11,3,0,2,1,4.117647058823529,3,16,3,6,136
627,32,2,96,0,113,40,4,1,14,113,13,0,62,0,48,34,5,1,5,22,0,45,4,10,10,40,13,5,7,9,5.405,10,21,3,28,400
