,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
172,0,0,10,0,5,2,1,0,0,1,9,0,0,6,0,0,0,1,0,0,0,4,3,4,3,3,0,0,0,0,0,6.59375,0,3,3,32
173,1,1,22,0,16,8,0,1,0,2,18,5,0,8,0,0,0,5,0,0,0,6,5,6,5,1,0,0,0,0,0,6.451612903225806,0,3,7,62
174,4,1,36,2,34,11,0,0,0,8,35,7,0,14,0,1,8,11,0,0,4,15,20,13,4,6,5,4,7,0,2,5.798245614035087,2,1,10,114
175,2,0,14,0,15,11,0,1,0,2,15,6,0,9,0,0,4,11,0,0,0,6,6,6,1,8,1,0,1,0,0,6.2272727272727275,0,0,9,66
176,9,2,32,1,29,11,3,0,0,3,44,24,0,16,0,0,6,7,1,0,1,12,10,15,3,7,3,2,2,0,2,6.268656716417911,2,9,12,134
177,4,1,26,1,27,14,0,0,0,4,29,23,0,8,0,0,3,14,0,0,0,7,9,8,1,7,2,0,0,0,0,6.644859813084112,0,11,13,107
178,4,1,38,0,38,16,0,1,0,4,36,27,1,15,0,0,14,13,0,0,2,8,11,24,8,3,2,1,2,0,3,6.307142857142857,0,2,14,140
179,3,0,31,2,21,19,1,0,0,7,42,11,0,11,0,0,6,8,0,0,0,13,17,12,2,6,1,0,2,0,0,6.256637168141593,2,3,15,113
180,4,0,15,0,7,4,0,0,0,5,17,4,0,5,0,0,2,7,0,0,1,4,9,4,1,4,0,0,1,0,0,6.12,0,3,2,50
181,1,0,18,1,10,1,0,0,0,2,18,11,0,9,0,1,4,6,0,0,0,5,7,11,0,2,2,0,3,0,0,6.426229508196721,0,5,10,61
182,2,1,17,1,19,11,0,2,0,2,14,12,1,10,0,0,4,8,0,1,0,5,5,11,1,5,0,1,1,0,0,6.594594594594595,0,3,7,74
183,1,2,20,0,14,9,0,0,0,4,18,7,0,6,0,0,6,7,0,0,0,6,9,7,1,4,3,0,1,0,1,6.319444444444445,0,4,8,72
184,8,0,14,1,16,16,0,1,0,3,22,7,0,9,0,0,6,13,0,0,0,4,6,6,8,6,0,2,3,0,1,6.195121951219512,1,1,5,82
185,1,0,22,0,18,5,0,0,0,3,17,13,0,11,0,0,5,6,0,0,1,8,9,9,3,4,1,3,1,0,1,5.847222222222222,0,2,9,72
186,8,2,21,0,31,12,1,2,0,5,27,27,1,18,0,0,9,13,0,0,1,2,6,13,1,13,3,2,1,0,1,5.8106060606060606,0,7,10,132
187,2,3,11,0,16,11,0,1,0,0,17,6,2,11,0,0,1,5,0,1,0,4,5,10,3,2,0,1,1,0,0,6.522388059701493,0,0,6,67
188,2,0,17,0,10,6,0,0,0,1,17,10,0,7,0,0,2,3,0,0,0,5,4,8,1,6,0,3,1,0,1,6.377049180327869,1,2,7,61
189,1,1,3,1,5,3,0,0,0,3,3,4,1,4,0,0,2,5,0,0,0,3,5,2,1,1,0,1,0,0,0,4.9375,0,2,5,32
190,4,0,12,0,16,5,1,0,0,1,14,1,0,13,0,0,2,4,0,0,0,5,7,6,2,3,1,0,0,0,0,6.078431372549019,0,2,5,51
191,1,1,13,0,18,4,2,1,0,4,17,8,0,9,0,0,1,2,0,0,0,0,4,5,2,2,0,2,1,0,2,6.385964912280702,1,4,6,57
192,3,1,39,1,24,13,1,1,0,6,42,13,0,19,0,0,9,12,0,0,2,14,16,16,6,5,0,1,5,0,2,6.124137931034483,2,2,17,145
193,4,3,37,0,32,17,0,1,0,7,32,13,1,19,0,0,6,13,1,0,1,9,12,15,9,7,1,3,3,0,2,6.371428571428571,2,3,13,140
194,4,1,29,0,31,19,0,0,0,4,25,31,1,15,0,0,10,10,0,0,0,6,11,11,5,4,3,3,1,0,1,5.985401459854015,0,9,15,137
195,3,1,21,1,22,6,0,1,0,5,20,13,0,15,0,0,5,7,0,0,0,7,12,13,3,5,1,1,0,1,0,6.304347826086956,1,1,12,92
196,3,0,17,3,22,11,0,1,0,4,19,10,0,15,0,0,6,8,0,0,1,5,10,7,4,3,1,1,2,0,0,6.021978021978022,1,3,21,91
197,3,1,21,0,18,13,0,0,0,6,26,10,0,9,0,0,3,1,0,0,1,7,11,7,5,4,0,1,0,0,1,6.123595505617978,0,4,10,89
198,5,2,31,0,22,11,0,0,0,7,29,15,0,12,0,0,11,7,0,0,0,11,16,15,3,5,1,2,2,0,3,6.52542372881356,2,4,11,118
199,1,0,18,0,13,9,0,1,0,4,19,7,0,10,0,0,5,5,0,0,0,3,7,8,3,2,1,2,2,0,0,5.945205479452055,1,0,9,73
200,4,0,22,0,13,14,0,1,0,3,31,7,0,12,0,0,1,9,0,0,1,6,7,9,2,3,1,2,0,0,0,6.443298969072165,0,0,12,97
201,3,0,20,0,18,8,0,0,0,1,25,6,0,8,0,0,1,4,1,0,0,8,7,5,0,0,1,1,2,0,0,6.283333333333333,1,2,4,60
202,4,2,26,1,27,11,2,2,0,6,19,17,0,17,0,0,14,7,0,0,1,9,15,12,2,3,8,2,0,2,0,5.237410071942446,2,8,21,139
203,6,0,29,2,16,13,0,0,0,2,34,7,0,13,0,0,2,9,1,0,0,8,9,11,2,1,0,1,1,0,1,5.77319587628866,1,2,13,97
204,1,2,15,0,19,10,0,2,0,1,20,18,1,12,0,0,3,8,0,1,0,6,5,8,4,1,0,3,0,0,1,6.333333333333333,1,5,7,93
205,5,3,33,0,23,20,0,2,0,4,26,11,1,20,0,0,0,10,0,1,0,13,12,12,8,5,0,1,0,0,1,6.043795620437956,1,1,12,137
206,5,2,34,2,20,12,0,0,0,6,20,18,0,18,0,0,3,7,0,0,1,11,15,14,5,6,3,1,0,1,2,6.041322314049586,2,5,10,121
207,7,0,28,1,33,18,0,3,0,4,32,16,1,10,0,0,9,18,0,0,0,5,10,18,4,5,0,2,1,0,1,6.1395348837209305,1,3,14,129
208,5,2,35,0,31,17,0,1,0,7,35,10,0,25,0,0,2,14,0,0,0,12,17,11,8,6,2,1,2,0,0,6.217687074829932,2,2,14,147
209,1,0,23,1,24,11,0,2,0,5,25,11,0,10,0,0,4,8,0,0,0,8,10,9,3,3,1,2,4,0,0,6.314606741573034,0,5,10,89
210,3,3,27,0,15,17,1,1,0,2,23,9,0,11,0,0,3,10,0,0,0,11,9,14,2,5,0,1,1,0,2,5.721649484536083,1,5,11,97
211,4,0,41,0,29,12,0,1,0,3,41,21,0,17,0,0,4,10,0,1,2,18,17,17,3,8,1,1,1,0,1,6.575342465753424,1,4,12,146
212,1,2,19,0,20,17,1,0,0,3,17,11,1,16,0,0,7,7,0,0,1,4,6,13,7,7,0,4,1,0,1,6.252427184466019,1,1,15,103
213,4,1,30,1,24,8,0,0,0,5,24,19,0,10,0,0,0,3,0,0,1,9,11,8,0,5,0,1,1,1,1,5.852631578947369,2,6,9,95
214,5,5,33,0,22,10,0,0,0,6,54,0,0,13,0,0,2,5,0,0,0,4,8,10,4,9,1,0,3,0,1,6.486725663716814,0,2,9,113
215,4,1,21,1,18,6,1,0,0,3,26,7,0,8,0,0,1,9,0,0,0,1,3,5,4,3,0,0,1,0,0,6.484848484848484,0,1,5,66
216,7,0,22,0,20,11,0,1,0,3,24,14,0,10,0,0,10,9,0,0,0,9,13,12,5,4,1,1,1,0,0,6.147368421052631,0,8,8,95
217,1,0,22,0,17,5,0,0,0,1,23,9,0,16,0,0,0,7,0,0,2,6,7,11,2,1,0,0,1,0,0,5.8441558441558445,0,4,8,77
218,4,0,18,1,12,5,1,1,0,1,15,4,0,8,0,0,1,6,0,0,0,2,3,9,1,4,0,0,1,0,1,6.927272727272728,0,0,9,55
219,6,0,18,1,17,8,0,2,0,3,32,5,1,4,0,0,4,7,0,0,1,5,8,9,2,2,0,1,1,0,0,5.894736842105263,0,1,10,76
220,1,1,19,1,18,6,1,0,0,3,20,13,2,7,0,0,2,7,0,0,0,4,7,10,2,6,1,1,3,0,1,6.159420289855072,2,1,10,69
221,3,1,16,0,13,9,0,2,0,2,10,15,0,15,0,0,0,9,0,0,0,2,2,9,3,2,2,1,1,0,1,6.442857142857143,2,2,8,70
222,0,0,22,0,25,13,0,0,0,5,16,20,0,12,0,0,2,13,0,1,0,5,10,7,4,4,0,1,2,0,0,6.2444444444444445,2,3,8,90
223,5,3,30,2,29,14,0,0,0,4,36,7,0,17,0,0,7,10,1,1,1,6,9,14,2,5,2,3,0,0,0,6.238938053097345,0,3,13,113
224,2,0,6,2,8,5,0,0,0,3,7,6,0,0,0,0,2,6,0,0,0,1,4,5,1,2,0,1,0,0,1,5.40625,0,1,4,32
225,3,2,33,0,33,15,1,0,0,5,38,20,0,10,0,0,7,9,0,0,0,13,16,12,7,8,0,0,0,0,2,5.99236641221374,0,2,12,131
226,4,3,21,0,17,7,1,0,0,2,26,2,0,18,0,0,3,3,0,0,1,10,8,9,7,7,1,1,1,0,1,6.641304347826087,1,0,9,92
227,6,3,69,2,46,20,1,0,0,6,70,39,0,25,1,0,6,19,1,0,1,22,25,24,10,10,3,4,3,3,3,5.941422594142259,3,9,17,239
228,4,1,26,0,17,9,0,0,0,3,26,11,0,8,0,0,5,8,0,0,2,9,12,6,6,5,3,8,1,0,3,6.10752688172043,0,3,8,93
229,1,0,11,0,11,6,0,0,0,3,8,3,0,5,0,0,1,4,0,0,0,6,7,3,2,2,1,0,0,0,0,6.073170731707317,0,4,3,41
230,1,1,15,1,17,8,1,0,0,3,14,13,0,9,0,0,2,5,0,0,0,8,9,7,1,7,0,1,1,0,0,6.651515151515151,1,2,6,66
231,3,0,21,1,14,10,1,0,0,2,24,11,0,9,0,0,8,11,0,0,2,4,3,13,5,3,1,3,0,0,3,6.238636363636363,0,2,10,88
232,4,3,29,1,34,16,0,0,0,6,39,10,0,23,0,0,2,8,0,0,1,12,11,17,7,5,0,2,1,0,1,6.338345864661654,0,7,11,133
233,4,1,23,0,19,9,2,0,0,3,22,21,1,6,0,0,4,9,0,0,0,8,11,11,3,2,1,1,2,0,0,6.555555555555555,0,8,9,99
234,2,1,17,0,9,6,0,0,0,4,19,6,0,7,0,0,3,5,0,0,0,8,10,8,1,6,1,0,1,0,1,6.5606060606060606,1,0,6,66
235,1,1,9,0,9,0,0,0,0,1,4,4,0,7,0,0,1,2,0,0,0,3,3,4,2,0,1,0,1,0,0,6.285714285714286,0,1,4,28
236,3,1,20,1,14,13,0,0,0,3,21,10,0,14,0,0,3,9,0,0,1,5,7,9,4,2,0,1,0,0,1,6.066666666666666,0,1,8,90
237,1,1,11,0,16,12,0,0,0,1,12,7,1,9,0,0,2,4,0,0,1,1,2,7,3,2,0,0,1,0,2,6.490909090909091,0,1,6,55
238,2,1,36,1,33,19,1,1,0,2,36,6,1,20,0,0,2,9,1,0,1,3,3,4,2,4,2,4,0,0,0,6.576576576576577,0,0,12,111
239,4,3,22,0,18,6,1,0,0,3,24,11,0,12,0,0,2,5,0,0,0,11,11,9,3,4,1,0,0,0,0,6.1647058823529415,0,2,9,85
240,0,0,19,0,10,7,0,0,0,1,12,8,0,10,0,0,2,6,0,0,1,4,4,4,1,3,2,2,2,0,0,6.406779661016949,1,5,8,59
241,3,0,23,0,26,13,2,1,0,3,27,9,0,12,0,0,3,8,0,1,1,6,7,10,4,10,2,3,1,0,0,6.207920792079208,1,2,12,101
242,2,1,15,0,12,5,1,0,0,1,13,4,0,9,0,0,1,2,0,0,0,2,2,3,6,3,1,0,0,0,0,7.25531914893617,0,2,6,47
243,1,0,9,0,8,2,0,0,0,2,4,7,0,4,0,0,6,0,1,0,0,1,2,1,0,1,1,0,0,0,0,5.7272727272727275,0,5,3,22
244,4,1,15,0,14,8,0,2,0,3,22,0,0,7,0,0,5,10,0,0,0,5,5,8,4,2,0,1,1,0,1,6.015625,0,6,5,64
245,1,0,5,0,4,3,0,0,0,0,3,4,0,5,0,0,0,2,0,0,0,3,3,3,1,0,0,0,0,0,0,6.636363636363637,0,0,2,22
246,1,1,21,2,25,11,1,0,0,5,26,12,0,12,0,0,8,13,0,0,1,4,6,14,4,8,0,3,4,0,0,6.158415841584159,3,2,11,101
247,2,0,13,1,11,8,1,0,0,2,13,7,0,6,0,0,1,4,0,0,1,7,6,7,3,3,0,1,1,0,2,5.982758620689655,0,2,6,58
248,3,0,27,0,21,16,0,1,0,4,28,3,0,9,0,0,1,7,0,0,0,4,5,4,3,6,0,1,1,0,1,5.936708860759493,2,1,4,79
249,2,2,23,0,21,15,0,0,0,2,19,9,1,12,0,0,6,8,0,0,0,9,9,8,5,4,0,2,0,0,0,6.531914893617022,0,0,11,94
250,1,0,20,1,15,11,1,1,0,6,21,17,1,9,0,0,6,16,0,0,1,8,10,6,4,7,1,3,2,0,2,5.893203883495145,1,2,13,103
251,3,0,25,1,27,12,0,0,0,4,26,13,0,15,0,0,6,9,0,1,1,3,6,11,4,4,0,2,2,0,2,6.316326530612245,2,2,12,98
252,2,2,13,0,19,8,0,0,0,2,13,11,0,13,0,0,5,6,0,0,0,6,7,7,5,2,1,2,0,0,0,6.28169014084507,0,3,8,71
253,2,1,19,1,18,12,0,1,0,4,25,7,0,10,0,0,4,7,0,0,2,6,9,6,2,3,2,2,0,0,1,5.964285714285714,1,8,7,84
254,8,1,26,0,24,15,0,0,0,5,27,15,0,12,0,0,5,7,0,1,0,6,9,8,5,8,1,1,3,0,0,6.082474226804123,0,2,6,97
255,5,0,37,1,24,16,0,0,0,3,32,23,0,16,2,0,4,10,0,0,0,14,13,10,7,3,1,1,1,0,0,6.069230769230769,0,6,12,130
256,6,0,30,1,27,16,1,2,0,5,27,8,1,10,0,0,7,14,0,0,1,7,12,10,9,3,2,4,3,0,1,6.3478260869565215,2,4,10,115
257,0,1,15,1,15,6,0,1,0,2,17,7,0,9,0,0,1,7,0,0,0,4,4,8,3,5,0,0,0,0,0,6.186440677966102,0,3,7,59
258,5,1,42,1,32,17,0,0,0,6,37,10,0,23,0,0,5,7,0,0,0,8,9,19,5,3,0,0,0,0,0,6.260162601626016,0,1,13,123
259,2,0,23,2,18,14,0,0,0,5,24,13,0,11,0,0,1,12,0,0,2,7,9,11,5,3,1,1,1,0,0,6.42,1,3,10,100
260,4,1,28,2,24,18,0,0,0,4,32,11,0,10,0,0,3,10,0,0,0,6,7,10,3,9,3,1,2,0,1,6.213592233009709,2,3,8,103
261,3,0,24,2,20,9,0,1,0,3,29,15,0,14,0,0,5,5,0,0,0,5,8,10,4,3,0,2,0,0,0,6.494736842105263,0,5,12,95
262,2,1,21,1,15,6,1,0,0,3,22,11,0,12,0,0,2,6,0,0,0,6,8,9,3,4,1,1,1,0,0,6.814814814814815,1,3,9,81
263,3,1,20,0,16,16,0,1,0,4,29,10,1,9,0,0,1,6,0,0,2,4,8,11,1,4,2,1,0,0,0,6.468085106382978,0,4,12,94
264,3,0,16,0,12,12,0,0,0,3,17,11,0,12,0,0,3,7,0,0,1,8,10,11,4,4,0,2,1,1,0,6.0777777777777775,1,2,11,90
265,0,0,10,0,10,3,0,0,0,1,9,1,0,5,0,0,5,4,0,0,0,4,3,6,0,1,0,0,1,0,0,5.151515151515151,0,1,5,33
266,6,0,30,1,27,19,0,1,0,4,21,8,0,13,0,0,3,13,0,0,0,5,8,15,3,3,0,2,3,0,0,6.164835164835165,1,3,10,91
267,0,0,22,0,14,6,0,0,0,2,23,12,0,5,0,0,7,5,0,0,1,9,8,7,2,5,0,4,2,0,0,5.9125,0,3,7,80
268,6,2,20,0,20,17,0,0,0,6,24,3,0,13,0,0,10,12,0,0,0,12,14,12,3,6,1,2,1,0,0,5.96969696969697,1,0,12,99
269,6,3,37,0,34,18,0,0,0,2,35,29,0,17,0,0,5,1,0,0,1,15,16,12,7,2,0,6,0,0,0,6.244604316546763,0,4,12,139
270,3,1,26,0,22,9,0,1,0,1,36,20,0,7,0,0,5,9,0,0,2,5,4,7,7,2,1,5,0,0,3,5.9523809523809526,0,7,13,105
271,3,0,10,0,9,5,0,0,0,3,7,5,1,8,0,0,3,2,0,0,1,4,6,5,5,2,0,0,1,0,0,6.571428571428571,0,1,7,42
272,5,0,34,0,26,16,0,2,0,3,29,30,0,17,0,0,6,10,0,0,1,11,10,10,6,6,0,1,2,0,0,6.438461538461539,1,1,12,130
273,3,2,29,0,32,13,0,0,0,7,25,29,0,20,0,0,8,8,0,0,1,10,15,16,4,7,2,0,1,0,5,6.434108527131783,2,2,14,129
274,10,0,40,0,22,10,0,1,0,2,46,16,0,18,0,0,3,12,1,0,0,6,6,11,7,7,1,4,1,0,1,6.654676258992806,1,4,13,139
275,3,0,21,0,27,11,0,2,0,3,26,13,0,13,0,0,6,11,1,0,0,5,7,7,6,9,0,4,0,0,1,6.357142857142857,0,2,10,98
276,3,0,34,0,20,13,0,0,0,5,25,14,0,15,0,0,2,5,0,0,0,7,10,12,3,8,0,1,0,0,1,6.59047619047619,1,3,9,105
277,5,3,22,0,19,8,1,0,0,5,22,11,0,11,0,0,1,8,0,0,0,11,15,8,2,3,2,0,0,0,0,6.344444444444444,0,1,15,90
278,0,2,23,1,15,4,1,0,0,3,20,6,0,11,0,0,3,9,0,0,0,4,7,10,5,3,0,1,0,0,0,6.0,0,2,8,71
279,4,0,39,1,26,18,0,0,0,6,42,15,0,16,0,0,5,6,0,0,0,16,19,10,0,4,3,0,3,0,1,6.480314960629921,0,2,9,127
280,2,1,12,0,7,5,0,1,0,2,10,7,0,7,0,0,3,3,0,0,0,5,5,9,1,1,1,0,0,0,1,6.530612244897959,0,2,5,49
281,1,0,21,1,22,10,0,0,0,2,15,17,2,18,0,0,2,4,0,0,3,7,7,11,5,7,1,6,3,0,0,6.25531914893617,1,4,8,94
282,4,1,19,0,16,10,2,1,0,3,21,21,0,12,0,0,4,3,1,0,3,13,13,14,7,11,1,1,0,0,3,5.927272727272728,0,9,14,110
283,4,0,21,1,19,10,0,1,0,2,20,6,0,10,0,0,1,9,0,0,0,7,8,9,3,2,0,3,4,0,1,6.171052631578948,1,2,10,76
284,1,1,21,0,21,12,2,1,0,4,19,22,0,16,0,0,6,11,0,0,0,3,5,13,3,6,3,0,2,0,3,6.382352941176471,2,6,16,102
285,5,1,13,0,15,5,0,0,0,2,14,7,0,12,0,0,1,1,0,0,0,6,7,9,1,3,0,0,0,0,0,6.196428571428571,0,1,3,56
286,2,1,22,1,23,11,0,2,0,5,27,16,0,16,0,0,4,8,0,0,1,6,9,9,5,6,0,1,0,0,3,6.5514018691588785,0,8,14,107
287,8,0,21,0,17,12,1,0,0,2,22,3,0,14,0,0,5,5,0,0,1,5,5,11,7,3,3,0,1,0,1,5.868131868131868,0,1,9,91
288,1,3,18,2,29,10,1,1,0,1,19,12,1,9,0,0,3,5,0,0,1,4,4,11,4,8,2,2,0,0,1,6.1625,0,1,8,80
289,1,0,5,0,6,4,0,0,0,0,3,5,0,7,0,0,2,3,0,0,0,3,3,4,3,0,1,0,0,0,1,5.96875,0,0,4,32
290,3,1,26,2,19,12,0,0,0,4,31,11,0,9,0,0,1,8,0,0,0,8,8,9,3,3,1,2,1,0,1,6.08421052631579,0,2,10,95
291,2,3,14,1,12,6,0,0,0,1,19,8,0,14,0,0,1,8,0,0,0,7,6,10,5,1,1,0,0,0,1,6.671052631578948,0,1,7,76
292,3,2,22,2,27,15,1,0,0,4,28,24,1,13,0,0,5,10,0,1,2,8,10,11,3,8,2,2,1,0,3,6.176,1,3,11,125
293,3,0,18,1,18,11,1,2,0,1,22,12,0,7,0,0,3,4,0,0,0,3,2,3,2,1,4,6,1,0,0,6.555555555555555,1,5,10,72
294,3,1,28,0,25,17,0,0,0,1,34,16,0,11,0,0,3,7,0,1,0,6,4,11,2,3,2,1,0,0,0,6.123809523809523,0,3,9,105
295,1,1,13,1,10,11,0,0,0,0,14,13,0,10,0,0,0,6,0,1,0,5,3,7,5,1,2,2,2,0,1,6.3561643835616435,1,3,8,73
296,1,1,15,0,16,7,1,0,0,2,12,8,0,15,0,0,1,6,0,1,0,4,3,6,3,2,1,2,0,0,0,6.573529411764706,0,4,10,68
297,4,0,16,1,21,11,0,0,0,5,7,18,1,14,0,0,2,9,0,0,1,2,8,9,3,3,3,1,0,0,0,6.337662337662338,0,12,8,77
298,4,1,22,1,13,7,1,1,0,3,26,8,0,10,0,0,4,4,0,0,0,6,8,9,2,5,2,1,4,0,1,6.379746835443038,1,1,14,79
299,4,1,37,0,28,14,1,1,0,5,38,17,0,13,0,0,7,10,0,0,0,6,7,18,6,15,1,1,2,0,1,6.096,2,15,5,125
300,3,0,34,0,43,22,0,1,0,5,31,34,0,18,0,0,3,12,0,0,0,7,10,10,6,5,0,3,1,0,2,6.232394366197183,2,1,14,142
301,4,1,35,1,29,26,0,1,0,6,32,25,0,19,1,0,5,11,0,0,0,14,13,3,5,3,0,5,0,0,0,6.26056338028169,0,3,13,142
302,2,0,7,2,8,5,0,1,0,3,9,8,0,5,0,0,3,5,0,0,0,4,5,5,1,4,3,1,1,1,0,6.040816326530612,1,1,7,49
303,2,1,21,0,23,11,1,1,0,3,27,8,0,8,0,0,13,6,0,0,0,5,5,14,6,3,0,1,1,0,0,5.989010989010989,0,2,12,91
304,2,0,18,0,19,12,0,0,0,4,16,12,0,12,0,0,2,4,0,0,0,5,7,8,3,7,0,1,1,0,0,6.025,1,0,10,80
305,0,0,18,0,10,7,0,0,0,1,24,0,0,3,0,0,2,7,0,0,0,6,4,7,2,2,1,0,1,0,0,6.0576923076923075,0,0,5,52
306,1,0,21,1,19,6,0,0,0,4,17,5,0,9,0,0,6,11,0,0,0,3,8,9,2,5,1,3,2,0,2,6.045454545454546,2,1,10,66
307,5,1,25,1,31,8,0,0,0,1,15,23,0,7,0,0,8,2,0,1,2,5,6,8,3,2,2,7,1,1,1,5.022222222222222,2,7,5,90
308,4,1,23,0,18,12,0,0,0,8,15,12,0,12,0,0,1,7,0,0,0,4,9,7,4,6,0,1,1,0,0,6.121951219512195,0,2,8,82
309,3,3,20,1,23,9,0,0,0,4,19,19,1,9,0,0,1,5,1,0,3,4,6,10,3,6,0,2,1,0,1,6.528735632183908,0,2,10,87
310,4,2,26,0,17,13,1,2,0,1,24,13,0,13,0,0,3,9,0,1,0,6,7,8,5,4,0,2,0,0,0,6.326086956521739,0,10,10,92
311,5,0,23,0,15,9,0,1,0,1,32,8,0,11,0,0,3,6,0,0,0,6,4,10,4,1,1,2,0,0,0,6.2967032967032965,0,1,12,91
312,2,0,12,0,7,1,0,0,0,2,11,7,0,9,0,0,3,3,0,0,1,10,10,6,0,1,1,0,1,0,1,6.297872340425532,1,2,7,47
313,2,2,32,0,26,19,0,0,0,2,31,5,0,12,0,0,7,11,0,0,1,9,8,18,4,6,1,0,1,0,2,5.982456140350878,0,3,11,114
314,0,1,14,0,15,6,0,0,0,1,15,2,0,6,0,0,3,5,0,0,0,2,2,5,2,5,1,0,1,0,0,6.264150943396227,1,1,5,53
315,6,2,28,2,26,19,0,1,0,7,32,4,0,9,0,0,7,9,0,0,1,9,14,12,3,7,1,3,2,0,0,5.962962962962963,1,4,20,108
316,2,0,5,1,10,3,0,0,0,3,5,11,0,2,0,0,8,8,0,0,0,3,5,5,0,0,1,0,1,0,0,4.783783783783784,0,1,5,37
317,0,1,9,0,4,3,0,0,0,0,8,0,0,4,0,0,1,2,0,0,0,0,0,5,0,0,0,0,1,0,0,6.142857142857143,0,0,4,21
318,2,1,27,0,12,4,0,0,0,5,26,2,0,8,0,0,6,4,0,0,1,7,9,7,8,3,0,3,0,0,4,6.175675675675675,0,3,8,74
319,4,1,45,2,38,25,0,0,0,11,51,19,0,22,0,0,6,14,0,1,0,11,19,13,4,11,0,4,0,0,2,6.2601156069364166,0,11,20,173
320,3,0,24,0,30,18,0,0,0,3,22,18,0,21,0,0,4,12,0,0,1,11,10,9,2,5,1,2,2,0,0,6.557377049180328,2,3,9,122
321,3,0,28,1,24,12,0,0,0,1,27,30,0,11,0,0,8,7,0,0,0,10,11,14,3,6,5,1,0,1,1,6.146551724137931,2,9,16,116
322,2,0,11,0,12,11,0,0,0,2,13,15,1,11,0,0,6,9,0,0,0,10,8,7,2,7,3,5,2,0,0,5.615384615384615,0,4,9,91
323,5,0,16,2,18,8,0,1,0,4,26,8,0,6,0,0,7,15,0,0,0,5,11,5,2,5,1,0,1,0,0,5.586666666666667,1,4,7,75
324,1,1,21,0,17,10,0,0,0,3,18,8,0,9,0,0,0,4,0,0,0,4,5,7,2,2,0,0,0,0,0,6.434782608695652,0,0,5,69
325,1,0,27,0,31,18,3,1,0,4,35,27,0,14,0,0,4,10,0,0,0,5,9,14,5,6,0,3,3,0,1,6.2835820895522385,2,7,16,134
326,2,1,20,1,14,18,0,0,0,4,17,9,0,8,0,0,4,8,0,0,0,11,12,8,4,4,1,1,0,0,1,6.25,1,2,8,84
327,5,1,20,1,18,9,0,1,0,4,15,14,1,16,0,0,3,8,0,1,1,5,11,13,6,3,3,3,1,1,1,6.434782608695652,2,3,12,92
328,3,1,28,1,27,13,1,1,0,4,27,9,1,11,0,0,4,10,0,0,2,5,6,12,5,5,0,2,1,0,2,6.031578947368421,2,0,8,95
329,1,0,19,0,14,7,0,0,0,2,17,8,0,8,0,0,2,6,0,0,0,1,3,7,2,4,2,2,3,0,0,6.158730158730159,0,0,10,63
330,1,1,18,0,13,13,1,0,0,3,15,18,0,11,0,0,3,8,0,0,0,4,4,12,2,1,0,1,0,0,0,6.2592592592592595,0,2,8,81
331,2,0,27,1,17,12,0,0,0,8,19,17,0,21,0,0,1,12,0,0,0,8,11,9,1,5,1,3,3,0,0,6.09433962264151,2,2,11,106
332,2,1,26,1,20,13,0,0,0,5,25,13,0,16,0,0,3,7,0,0,1,9,9,10,3,0,0,1,0,0,1,6.082474226804123,0,0,10,97
333,6,1,33,0,17,13,0,1,0,3,30,19,1,12,0,0,9,6,0,0,1,3,6,9,6,1,4,3,3,0,0,6.168141592920354,1,0,10,113
334,1,0,17,0,15,10,0,0,0,3,10,4,0,5,0,0,3,3,0,0,1,4,6,3,3,2,3,0,0,0,1,5.918367346938775,1,4,3,49
335,6,0,30,1,35,13,0,1,0,4,31,12,1,15,0,0,6,12,0,0,1,8,10,15,3,7,0,2,2,0,0,6.3090909090909095,1,2,8,110
336,2,0,23,1,19,17,0,0,0,3,13,30,0,8,0,0,5,11,0,0,0,8,11,8,3,0,1,3,1,0,0,5.6875,1,6,17,96
337,4,1,22,0,16,9,0,1,0,3,20,7,0,10,0,0,6,3,0,0,0,7,10,7,1,2,0,3,0,0,1,5.541666666666667,1,1,11,72
338,4,1,34,1,25,18,0,0,0,5,40,9,0,10,0,0,4,7,0,0,0,12,12,10,6,6,2,1,1,0,1,6.117647058823529,1,3,12,119
339,1,1,33,1,27,15,0,0,0,6,32,14,0,17,0,0,3,9,0,1,0,8,12,12,7,8,0,1,0,0,3,5.983739837398374,2,3,12,123
340,3,1,22,0,16,12,0,1,0,3,23,8,0,12,0,0,0,11,0,0,1,7,7,12,2,6,1,2,2,1,0,6.354838709677419,1,0,10,93
341,1,0,6,0,6,2,0,0,0,1,5,3,0,4,0,0,0,2,0,0,0,5,5,4,0,0,0,1,0,2,0,6.346153846153846,1,3,3,26
342,2,1,37,0,21,15,0,0,0,3,28,14,0,9,0,0,3,4,0,0,0,5,6,11,1,6,0,0,2,0,0,6.414893617021277,1,4,10,94
343,3,1,18,0,25,8,1,2,0,4,31,21,0,8,0,0,8,9,0,0,1,11,13,14,1,6,0,1,1,0,2,6.2,1,3,11,100
344,3,1,21,1,26,16,1,1,0,3,18,15,0,15,0,0,7,10,0,0,1,6,5,15,4,6,0,2,2,0,2,6.412371134020619,2,4,11,97
