,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
167,3,0,8,1,17,9,0,0,3,20,6,0,4,0,0,34,10,0,0,1,2,0,4,16,4,4,7,6,0,3,1,3.7476635514018692,3,18,12,11,107
168,13,1,11,0,21,10,0,0,5,22,16,0,6,0,0,35,14,0,0,3,2,0,10,17,8,1,14,2,2,0,2,5.396396396396397,0,19,21,17,111
169,8,1,5,0,12,7,1,1,1,14,0,0,4,0,0,29,9,0,0,0,3,0,5,14,3,1,2,4,1,0,4,4.840579710144928,0,1,19,10,69
170,11,4,14,0,15,3,1,0,3,31,11,0,3,0,0,28,9,0,0,2,14,0,12,23,5,3,2,0,0,0,2,4.715596330275229,0,8,23,11,109
171,13,0,12,0,13,11,1,0,1,33,10,0,4,0,1,35,7,1,0,1,4,0,4,29,5,1,3,0,0,0,3,4.401960784313726,0,10,17,14,102
172,12,3,20,0,30,10,1,1,2,46,11,0,8,0,0,43,11,0,0,3,9,0,13,28,6,1,6,1,1,0,6,4.8431372549019605,0,8,21,17,153
173,1,0,8,0,8,7,0,0,2,12,5,0,4,0,0,5,5,0,0,1,4,0,4,2,2,1,1,1,0,0,0,5.666666666666667,0,6,9,6,39
174,7,1,6,0,5,4,0,0,0,14,2,0,1,0,0,18,7,0,0,3,5,0,5,12,2,0,3,1,0,1,2,4.2,1,4,15,6,50
175,1,0,9,0,4,7,0,0,0,10,5,0,2,0,0,12,2,0,0,0,8,0,6,11,1,0,4,0,0,0,3,4.276595744680851,0,4,12,8,47
176,14,3,39,2,45,21,1,0,1,83,13,1,14,0,0,47,22,1,0,0,17,0,14,36,18,6,6,8,2,2,5,4.8962655601659755,3,12,24,29,241
177,4,3,9,1,6,2,0,0,1,8,4,0,3,0,0,8,7,0,0,2,2,0,3,9,3,1,0,0,0,0,1,4.7631578947368425,0,5,16,5,38
178,1,1,5,0,8,6,1,0,0,8,0,0,5,0,0,4,0,0,0,0,0,0,0,6,3,0,0,1,0,0,2,4.551724137931035,2,7,8,4,29
179,6,3,4,0,4,3,0,0,0,16,3,0,3,0,0,20,4,0,0,0,1,0,1,13,4,1,4,0,1,0,0,4.551724137931035,0,6,13,4,58
180,9,3,18,2,13,4,0,0,3,37,2,0,3,0,0,28,6,0,0,4,4,0,7,15,4,1,9,1,0,0,2,4.4818181818181815,0,3,21,15,110
181,5,2,13,2,13,4,0,1,1,17,4,0,5,0,0,18,8,0,0,1,6,0,3,15,3,3,2,0,0,0,4,5.294117647058823,1,3,16,6,68
182,3,1,5,1,7,3,0,0,0,12,1,0,0,0,1,8,6,0,0,1,2,0,2,5,0,0,1,1,0,0,0,4.592592592592593,0,2,9,3,27
183,5,0,2,1,6,1,0,0,0,14,9,0,2,0,0,14,4,0,0,0,4,0,6,10,3,1,3,0,0,1,1,4.672727272727273,0,12,17,7,55
184,8,1,7,0,15,4,0,0,0,14,7,0,2,0,0,19,6,0,0,1,4,0,4,16,5,4,5,0,0,2,2,4.653846153846154,1,8,16,11,78
185,6,0,2,0,6,3,0,0,1,11,10,0,1,0,0,14,5,0,0,0,1,0,2,0,0,0,6,2,0,0,1,5.045454545454546,0,8,7,6,44
186,6,4,10,0,10,6,0,2,1,30,9,0,5,0,0,15,4,0,0,1,5,0,6,2,4,4,3,13,2,0,2,5.5777777777777775,4,6,16,12,90
187,9,2,22,0,26,17,0,0,3,40,23,0,11,0,0,43,21,0,0,0,9,0,15,27,5,5,8,2,0,1,6,5.132947976878612,1,25,19,18,173
188,2,2,7,0,7,6,0,1,0,17,15,0,2,0,0,14,1,0,0,0,2,0,0,13,1,2,3,0,0,0,1,4.349206349206349,0,20,8,4,63
189,12,2,18,1,20,5,1,0,0,32,5,0,8,0,0,27,23,0,0,4,10,0,12,25,7,3,3,1,1,0,2,5.05982905982906,0,9,22,16,117
190,5,4,14,0,6,11,0,0,1,17,6,0,12,0,0,8,5,0,0,0,3,0,4,4,3,0,3,2,0,0,0,4.934210526315789,0,6,18,13,76
191,16,1,24,2,22,14,0,0,3,29,8,0,7,0,1,44,14,0,0,1,3,0,6,25,4,4,7,1,1,1,3,4.764705882352941,1,19,18,6,119
192,2,0,5,0,9,5,0,0,0,6,2,0,1,0,0,12,0,0,0,1,2,0,2,14,0,3,0,0,0,0,3,3.7567567567567566,0,7,8,1,37
193,4,1,6,0,15,13,0,0,2,26,11,0,6,0,0,28,10,0,0,1,8,0,10,15,2,3,8,3,0,0,1,5.257142857142857,0,16,18,13,105
194,2,1,11,0,23,8,3,0,2,39,13,0,2,0,0,35,14,0,0,2,5,0,7,15,2,6,5,5,0,1,7,4.5390625,2,14,17,10,128
195,7,4,12,1,21,9,0,1,3,28,18,0,8,0,0,40,14,0,0,1,4,0,2,24,3,1,6,8,0,0,1,5.169117647058823,1,24,24,22,136
196,8,6,13,0,8,4,0,0,0,26,19,0,7,0,0,19,4,0,0,1,8,0,7,14,1,2,5,3,0,0,1,4.638888888888889,0,28,12,7,108
197,8,0,11,0,13,8,0,0,0,19,14,0,2,0,0,28,8,0,0,0,5,0,4,27,3,4,5,0,1,1,1,4.766990291262136,1,13,16,16,103
198,4,0,24,1,27,8,0,1,2,51,49,1,3,0,0,33,13,1,0,3,11,0,12,34,11,5,13,2,1,5,2,5.65,5,50,22,28,220
199,9,0,8,1,7,8,0,0,0,24,5,0,3,0,0,17,8,0,0,1,2,0,2,17,8,2,2,0,1,0,1,4.8311688311688314,0,9,14,6,77
200,4,2,22,2,16,9,0,0,1,31,2,0,5,0,0,19,5,0,0,0,3,0,3,19,9,3,0,1,0,1,1,4.933333333333334,0,2,18,15,90
201,13,2,1,4,6,3,0,0,1,13,1,0,6,0,0,16,6,0,0,0,0,0,2,13,2,2,3,0,0,0,0,4.595238095238095,0,8,8,2,42
202,12,4,17,2,18,12,1,0,2,28,20,0,5,0,0,29,11,0,0,1,9,0,8,20,4,3,4,4,0,1,2,3.2532467532467533,1,17,15,13,154
203,3,4,14,0,16,4,0,0,0,24,4,0,8,0,0,15,10,0,0,0,5,0,3,12,8,3,2,2,0,0,1,5.487804878048781,1,4,17,13,82
204,9,0,9,0,16,7,0,0,1,20,3,0,6,0,0,28,7,0,0,1,2,0,4,20,0,5,7,0,0,1,2,4.148936170212766,1,10,17,13,94
205,6,3,4,0,11,6,0,0,2,21,8,0,5,0,0,41,12,0,0,7,13,0,12,28,5,2,2,0,1,0,1,4.761904761904762,0,11,14,17,105
206,8,1,21,1,10,5,0,0,3,35,33,0,5,1,0,15,8,0,0,1,5,0,9,24,1,2,10,1,1,1,4,4.833333333333333,0,29,23,16,144
207,6,1,5,0,2,2,1,0,1,16,54,0,0,0,0,10,5,0,0,0,0,0,2,11,0,0,0,0,0,0,0,5.375,0,54,17,16,96
208,7,4,33,3,22,9,0,0,1,62,10,0,10,0,1,40,16,0,0,2,12,0,11,23,13,7,9,3,2,2,3,5.161616161616162,1,11,24,30,198
209,7,0,10,0,9,4,0,0,1,19,4,0,2,0,0,11,1,0,0,2,7,0,8,12,0,8,2,2,1,0,3,5.5344827586206895,0,4,20,8,58
210,16,2,20,0,19,16,0,0,0,32,9,0,13,0,0,34,10,0,0,2,4,0,2,14,5,2,7,4,0,0,4,4.664,0,13,16,16,125
211,5,3,10,0,8,5,0,0,1,21,7,0,5,0,0,19,15,0,0,3,12,0,9,22,1,4,3,0,1,0,0,4.763440860215054,0,10,15,12,93
212,4,1,8,1,12,7,0,0,2,27,24,0,7,0,0,20,10,0,0,0,5,0,5,1,3,0,8,13,0,1,1,5.349514563106796,2,18,18,17,103
213,17,0,14,0,14,10,1,0,2,31,12,0,6,0,0,42,22,1,0,4,15,0,15,19,8,1,20,2,0,6,0,3.9375,5,38,17,8,160
214,2,0,7,1,13,5,1,0,2,32,25,0,1,0,0,15,10,1,0,0,0,0,5,19,3,5,1,0,0,0,2,6.171428571428572,0,32,16,13,105
215,17,0,10,3,16,4,0,0,0,24,15,0,2,0,2,43,19,0,0,2,9,0,6,26,7,2,7,3,0,0,6,4.931372549019608,2,21,13,7,102
216,18,2,11,0,15,12,0,0,2,35,12,1,10,0,0,52,12,0,0,4,4,0,5,40,1,4,6,1,0,0,2,4.823943661971831,0,13,18,22,142
217,5,1,8,1,9,8,0,0,1,19,16,0,4,0,0,24,7,0,0,1,3,0,6,14,4,5,4,2,2,0,1,4.672897196261682,0,15,19,18,107
218,12,5,24,0,31,20,2,1,3,52,24,0,7,0,0,56,14,0,0,7,22,0,16,33,4,7,15,2,2,0,4,4.544186046511628,0,31,22,21,215
219,8,0,14,0,21,11,0,0,0,37,19,0,4,0,0,18,5,0,0,3,5,0,4,1,2,1,11,1,0,1,7,5.082474226804123,1,19,8,8,97
220,11,0,8,1,22,14,1,0,1,31,5,0,0,0,0,28,13,0,0,2,5,0,5,15,3,3,2,2,0,0,1,4.245283018867925,0,10,23,12,106
221,7,2,5,0,10,5,1,0,1,26,0,0,0,0,0,30,14,0,0,1,6,0,8,14,1,3,3,1,0,1,0,4.184210526315789,1,2,14,3,76
222,4,4,13,2,10,2,0,0,0,20,7,0,3,0,0,15,6,0,0,2,2,0,3,11,2,1,3,1,0,0,1,4.403225806451613,0,16,14,9,62
223,8,1,13,1,18,2,0,1,0,21,10,0,6,0,0,16,8,0,0,0,5,0,2,8,7,1,4,4,0,0,7,5.215189873417722,3,10,15,8,79
224,3,0,9,0,7,6,0,0,0,24,10,0,0,0,0,12,4,0,0,0,2,0,2,13,1,1,2,1,1,0,4,4.7384615384615385,0,8,15,9,65
225,5,0,16,0,13,8,0,0,1,27,4,0,0,0,0,29,12,0,0,1,7,0,10,19,2,4,1,1,0,0,5,5.032608695652174,1,10,19,15,92
226,0,0,0,0,3,1,0,0,1,2,0,0,3,0,0,4,3,0,0,0,1,0,3,0,0,0,3,0,0,1,1,4.666666666666667,1,2,6,2,18
227,7,1,18,0,18,7,0,0,0,33,16,0,3,0,0,30,14,0,0,3,8,0,8,17,5,1,6,4,0,1,0,5.2734375,1,10,21,16,128
228,3,0,24,1,31,9,0,0,1,43,12,0,13,0,0,64,24,0,0,6,14,0,11,48,9,5,7,1,0,0,6,4.174698795180723,0,18,16,5,166
229,1,1,3,0,3,3,0,0,0,3,2,0,1,0,0,10,1,0,0,0,4,0,4,6,2,1,1,0,0,0,1,4.115384615384615,0,7,7,2,26
230,6,4,6,0,10,4,0,0,1,8,3,0,4,0,0,15,3,0,0,0,4,0,4,9,2,0,4,1,0,0,0,4.173913043478261,0,6,16,5,46
231,3,0,8,0,7,4,0,0,0,20,7,0,4,0,0,10,7,0,0,1,8,0,7,12,1,3,1,0,0,0,1,3.873015873015873,0,10,14,8,63
232,4,0,16,1,10,3,0,0,1,26,6,0,7,0,0,23,8,0,0,4,7,0,4,22,3,4,0,0,1,0,0,5.080459770114943,0,9,17,16,87
233,4,2,11,1,19,8,2,1,5,33,0,0,4,0,0,36,9,1,0,0,9,0,14,9,3,3,13,1,1,3,3,4.452991452991453,2,1,15,17,117
234,10,2,12,1,14,9,0,0,2,20,3,0,3,0,0,21,15,0,1,2,4,0,7,14,4,1,4,0,0,0,1,4.634146341463414,0,3,16,9,82
235,4,1,13,0,4,5,0,0,1,15,20,0,2,0,0,16,1,1,0,1,6,0,4,18,2,4,1,0,0,0,4,5.024390243902439,0,18,17,19,82
236,2,1,25,0,26,8,0,1,3,40,14,1,6,0,0,36,15,0,0,2,8,0,8,24,4,1,5,1,0,0,4,4.931818181818182,1,17,22,19,132
237,6,2,10,0,20,5,0,0,4,25,46,0,6,0,0,22,10,1,0,3,4,0,9,8,2,3,8,3,0,1,0,5.534351145038168,1,48,17,28,131
238,11,1,14,2,28,12,0,2,3,31,18,0,9,0,0,56,14,0,0,3,13,0,17,36,8,5,5,0,0,2,2,4.763005780346821,2,19,18,21,173
239,0,0,2,0,5,4,0,0,0,7,0,0,1,0,0,9,1,0,0,0,7,0,6,6,3,0,0,0,0,0,2,4.222222222222222,0,1,13,5,27
240,3,0,11,0,8,5,1,0,1,31,35,0,8,0,0,16,9,0,0,1,3,0,7,6,3,3,14,5,0,0,4,5.053030303030303,1,39,11,10,132
241,7,2,7,1,13,7,1,0,0,26,8,0,0,0,1,26,9,0,0,1,6,0,6,25,4,5,0,2,0,1,1,4.735632183908046,1,10,17,8,87
242,5,3,17,1,22,10,0,1,3,35,17,0,2,0,0,46,18,0,0,3,9,0,12,33,7,2,10,2,1,3,2,4.324137931034483,3,23,16,9,145
243,5,2,16,0,14,8,0,0,2,29,5,0,3,0,0,31,9,0,0,0,6,0,10,2,3,0,15,8,1,1,1,4.488636363636363,2,21,13,11,88
244,4,0,2,0,5,4,0,0,1,15,9,0,0,0,0,20,9,0,0,0,2,0,2,8,2,1,7,4,1,2,6,4.068965517241379,2,20,11,2,58
245,4,0,3,0,1,0,0,0,0,8,0,0,1,0,0,9,0,0,0,0,4,0,3,0,0,0,2,2,0,0,2,4.2105263157894735,0,0,8,2,19
246,18,3,30,0,32,17,4,1,8,38,24,0,13,0,0,62,23,0,0,0,14,0,25,35,10,3,10,8,1,0,7,4.6976744186046515,1,29,20,24,215
247,2,0,4,0,5,4,0,0,0,11,16,0,2,0,0,14,5,0,0,1,1,0,1,11,3,3,2,3,1,1,2,5.253731343283582,1,13,17,12,67
248,5,3,9,0,9,12,0,0,3,22,13,0,0,0,0,31,10,1,1,0,2,0,3,20,0,2,2,1,2,0,4,4.186274509803922,0,16,18,9,102
249,10,3,10,0,12,5,1,0,6,26,3,0,3,0,0,27,18,0,0,2,5,0,12,11,0,1,4,2,0,1,1,4.827586206896552,1,7,15,9,87
250,13,4,17,7,7,10,0,0,0,25,6,0,9,0,0,12,16,0,0,1,6,0,6,20,5,10,2,6,1,1,0,5.22680412371134,1,5,20,12,97
251,4,1,12,0,22,5,0,0,4,21,5,0,6,0,0,21,8,0,0,1,5,0,7,12,3,0,4,1,1,0,3,4.54320987654321,0,6,19,10,81
252,9,3,27,1,17,12,0,0,1,42,2,0,6,0,0,39,6,0,0,4,12,0,13,19,1,3,15,0,1,0,6,4.246031746031746,0,11,10,7,126
253,17,3,25,0,28,12,1,0,8,41,5,0,9,0,0,37,18,0,0,2,18,0,22,31,4,3,1,0,1,1,8,4.985074626865671,1,11,16,13,134
254,3,1,16,3,13,10,1,0,2,15,4,0,11,0,0,17,6,0,0,1,7,0,9,17,4,1,2,2,0,1,2,4.851351351351352,1,6,18,10,74
255,12,1,9,0,14,12,0,0,2,26,8,0,6,0,0,22,11,0,0,0,2,0,4,0,6,1,13,4,1,0,3,4.6020408163265305,1,10,14,14,98
256,2,0,7,0,13,6,0,0,1,15,6,0,10,0,0,8,5,0,0,0,4,0,7,0,4,2,5,7,0,0,1,5.887096774193548,0,21,12,5,62
257,6,1,10,0,14,8,0,0,3,22,16,0,8,0,0,24,9,0,0,4,4,0,5,16,1,1,10,0,0,1,1,5.046296296296297,1,21,15,13,108
258,3,0,4,0,2,0,0,0,0,8,1,0,1,0,0,9,3,0,0,0,1,0,0,6,0,1,3,1,0,1,0,4.035714285714286,1,3,6,3,28
259,15,1,27,0,26,10,0,0,1,37,11,0,4,0,0,50,9,0,0,4,9,0,14,28,3,4,10,1,1,2,8,4.328571428571428,6,15,18,12,140
260,7,0,10,0,10,12,0,0,1,18,1,0,2,0,0,25,12,0,0,0,4,0,6,19,0,2,0,1,0,1,2,4.651515151515151,2,1,17,7,66
261,5,1,11,0,10,6,0,0,0,15,2,0,6,0,1,19,7,0,0,0,5,0,5,13,2,4,2,2,2,2,2,4.725806451612903,2,11,13,10,62
262,6,0,12,0,11,4,0,0,0,17,6,0,1,0,0,19,4,0,0,1,5,0,4,20,7,2,0,0,0,0,4,5.543859649122807,1,6,17,8,57
263,4,0,7,0,12,1,0,0,1,15,4,0,1,0,0,12,4,0,0,0,4,0,5,12,2,1,1,1,0,0,2,5.739130434782608,0,5,15,6,46
264,11,2,17,0,16,7,1,1,0,20,3,0,7,0,0,47,16,0,0,3,8,0,5,22,3,3,15,2,0,0,2,4.333333333333333,0,4,18,18,111
265,2,0,0,0,5,0,0,0,0,4,3,0,2,0,0,5,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,4.368421052631579,0,2,13,3,19
266,4,0,8,0,18,7,0,0,12,15,1,0,6,0,1,29,5,0,0,0,7,0,21,2,6,3,11,3,0,1,0,4.950617283950617,1,5,12,13,81
267,1,0,13,1,13,6,0,0,0,15,1,0,3,0,0,16,11,0,0,0,13,0,19,1,3,0,6,5,0,1,2,5.053571428571429,2,1,12,7,56
268,1,1,3,0,6,2,1,0,0,10,3,0,2,0,0,5,5,0,0,0,5,0,2,5,3,3,0,1,0,0,0,5.885714285714286,0,0,14,3,35
269,4,0,8,1,9,4,0,0,1,10,6,0,5,0,0,14,2,0,0,0,5,0,4,9,5,2,2,2,0,0,2,4.733333333333333,0,18,15,8,60
270,4,1,11,0,19,11,0,0,5,57,64,0,6,0,0,63,25,0,0,4,8,0,10,45,9,2,13,6,2,1,6,4.755905511811024,3,60,12,45,254
271,5,5,8,0,11,12,2,0,0,19,4,0,6,0,0,21,7,0,0,1,4,0,5,15,2,4,2,0,0,0,1,4.550724637681159,0,7,18,9,69
272,11,3,26,0,28,7,3,1,11,49,11,0,10,0,0,54,25,2,0,3,7,0,17,23,7,3,18,2,0,1,6,3.8,1,32,15,22,205
273,15,3,27,0,34,12,1,0,0,47,26,0,15,0,2,42,23,0,0,0,10,0,10,21,6,8,9,3,2,0,0,5.451977401129944,2,36,21,23,177
274,9,0,10,0,15,9,0,0,4,23,8,0,8,0,0,15,18,1,0,0,5,0,15,4,3,2,6,7,0,1,3,5.9787234042553195,1,3,13,13,94
275,8,0,6,0,10,5,0,0,3,8,0,0,1,0,0,28,12,0,0,4,4,0,8,16,7,0,3,0,0,0,3,3.9393939393939394,0,5,16,8,66
276,8,0,21,1,25,7,2,1,3,33,41,0,9,0,0,33,19,0,0,3,7,0,7,30,10,4,9,4,1,0,0,5.559139784946237,0,40,21,29,186
277,6,0,9,0,13,3,1,0,3,15,13,0,6,0,0,17,9,0,0,0,4,0,7,3,2,0,6,4,0,0,0,4.661764705882353,0,13,16,6,68
278,16,1,22,2,25,11,1,0,1,41,17,0,6,0,0,11,8,0,0,2,3,0,8,1,5,1,5,9,1,0,0,5.0701754385964914,0,17,18,16,114
279,1,0,2,0,5,3,0,0,0,4,0,0,1,0,0,4,1,0,0,0,2,0,2,0,0,0,0,4,0,0,1,4.3076923076923075,0,1,10,1,13
280,8,2,6,0,14,5,0,0,3,23,5,0,2,0,0,17,7,0,0,0,5,0,8,7,6,1,3,0,0,0,1,4.521739130434782,0,5,14,8,69
281,6,1,14,0,18,9,0,0,1,35,3,0,6,0,1,14,5,0,0,1,7,0,5,10,5,1,2,3,2,0,0,4.9222222222222225,0,3,16,13,90
282,3,0,0,0,1,0,0,0,0,5,1,0,0,0,0,4,2,0,0,0,2,0,2,0,2,2,1,1,0,0,1,5.615384615384615,0,2,6,2,13
283,8,2,34,0,26,8,1,0,1,57,18,0,8,0,0,44,12,1,0,1,14,0,9,33,4,9,4,3,1,2,2,5.488505747126437,3,16,24,21,174
284,1,0,3,0,3,2,0,0,0,6,6,0,2,0,0,14,3,0,0,0,4,0,2,10,1,0,1,0,0,0,3,4.333333333333333,0,8,13,7,36
285,6,1,9,1,10,4,0,1,0,28,9,0,0,0,0,5,12,0,0,1,2,0,3,12,1,1,1,0,0,0,1,5.736111111111111,0,14,18,7,72
286,2,3,8,0,14,8,0,0,2,18,13,0,3,0,0,18,12,0,0,1,2,0,3,18,4,3,0,0,1,0,5,4.6477272727272725,0,9,18,10,88
287,7,1,12,0,12,6,1,0,0,21,16,0,3,0,0,29,15,1,0,2,15,0,13,33,4,2,4,1,1,0,1,4.291970802919708,0,13,23,16,137
288,2,0,8,1,8,6,0,0,0,13,15,0,3,4,0,17,2,0,0,0,1,0,0,18,1,0,2,0,0,0,1,4.1571428571428575,0,16,4,5,70
289,9,4,20,0,21,15,0,0,0,35,26,0,14,0,0,38,16,1,0,2,12,0,11,40,3,0,2,3,1,0,3,4.864705882352941,1,23,19,26,170
290,12,1,10,0,12,9,0,1,0,20,3,0,2,0,0,23,3,0,0,3,3,0,4,13,5,1,3,0,2,0,1,4.542857142857143,0,6,16,9,70
291,7,3,10,0,22,10,0,0,0,32,3,0,8,0,0,33,9,1,0,2,9,0,11,14,4,1,7,3,0,2,3,4.686868686868687,2,5,19,11,99
292,9,2,22,1,30,11,0,0,3,46,22,0,8,0,0,42,12,0,0,6,6,0,7,21,4,4,13,1,0,0,2,4.515151515151516,0,21,17,25,165
293,7,2,14,0,13,9,2,0,0,31,22,0,4,1,0,27,6,1,0,3,6,0,7,5,3,0,9,9,0,0,1,5.027027027027027,0,27,17,17,111
294,3,0,4,0,7,2,0,0,0,7,3,0,3,0,0,1,1,0,0,0,0,0,0,0,3,2,3,3,0,0,1,6.904761904761905,0,2,7,3,21
295,5,0,9,0,15,6,0,0,0,22,12,0,4,0,0,19,5,0,0,4,3,0,2,11,1,6,4,4,0,0,1,5.243589743589744,1,10,17,15,78
296,12,1,27,0,35,16,2,0,3,39,9,0,12,0,0,58,19,0,0,5,13,0,17,46,11,6,8,1,0,2,3,3.8480392156862746,4,13,13,14,204
297,10,2,16,0,19,6,1,0,0,27,5,0,7,0,1,38,16,0,0,5,6,0,4,35,4,3,5,1,0,0,5,3.0170454545454546,0,7,14,16,176
298,2,1,8,0,5,1,0,0,0,23,30,0,3,0,0,10,8,0,0,0,6,0,0,18,4,1,2,3,1,0,0,5.795918367346939,0,25,17,25,98
299,6,4,13,0,24,9,1,0,2,48,14,0,6,0,0,63,13,0,0,1,14,0,14,31,2,3,9,2,0,0,3,4.404255319148936,1,9,23,33,188
300,2,2,3,0,12,2,0,0,0,14,2,0,4,0,0,35,7,0,0,0,7,0,8,15,2,0,4,0,0,1,2,4.548387096774194,1,3,14,13,62
301,10,1,14,0,25,8,1,0,1,39,56,0,7,0,0,44,13,0,0,2,7,0,11,24,11,3,11,2,0,0,2,5.333333333333333,0,54,23,36,201
302,19,4,38,1,59,13,1,0,1,80,46,0,11,0,0,35,14,0,0,9,17,0,15,44,8,4,5,1,0,2,2,5.284584980237154,3,74,22,28,253
303,2,0,5,0,5,5,0,1,0,13,0,0,0,0,0,11,6,0,0,0,4,0,5,10,4,0,0,1,0,0,2,4.2727272727272725,0,4,13,8,44
304,14,2,27,0,33,21,0,1,8,50,23,0,13,0,1,50,21,1,1,3,19,0,28,10,7,5,23,4,0,0,1,4.9324324324324325,0,12,22,24,222
305,1,0,1,0,6,2,0,0,0,11,1,0,1,0,0,5,1,0,0,2,1,0,1,0,0,1,4,1,0,0,0,4.518518518518518,0,16,5,5,27
306,2,1,5,0,12,2,0,0,2,25,13,0,1,0,0,10,8,0,0,2,5,0,7,13,4,0,0,3,1,0,0,4.972972972972973,0,12,17,14,74
307,13,2,10,0,10,7,0,0,2,18,7,0,7,0,0,34,6,0,0,3,5,0,6,23,2,1,0,1,0,0,4,4.055555555555555,0,6,17,11,90
308,13,2,24,0,21,7,0,0,1,34,12,0,3,0,1,26,9,0,0,1,7,0,7,25,4,4,1,2,1,0,0,4.724489795918367,0,15,17,12,98
309,6,1,3,0,12,9,0,0,6,30,9,0,1,0,0,43,7,1,0,1,4,0,10,20,4,1,0,1,0,0,1,4.806451612903226,0,7,16,10,93
310,0,0,3,0,5,1,0,0,0,9,2,0,2,0,0,7,3,0,0,0,2,0,1,2,1,1,4,0,0,0,0,4.724137931034483,0,4,6,7,29
311,5,4,5,0,12,9,0,0,1,15,3,0,5,0,0,24,4,0,0,0,3,0,3,11,2,3,4,1,0,1,2,4.086956521739131,1,8,13,6,69
312,5,0,11,0,18,10,3,0,2,37,8,0,2,0,0,39,12,0,0,1,12,0,12,20,4,3,6,1,0,0,5,4.269230769230769,1,6,14,15,130
313,13,3,29,3,31,20,1,1,2,32,29,0,9,0,0,37,27,0,0,3,1,0,2,41,4,8,5,2,0,0,1,5.031914893617022,0,30,21,24,188
314,14,0,12,1,32,12,1,0,1,27,11,0,7,0,0,41,18,0,0,6,8,0,13,4,3,3,18,4,0,2,1,4.669291338582677,2,9,22,20,127
315,5,1,10,1,14,3,0,0,4,26,4,0,0,0,0,14,4,0,0,0,3,0,5,13,0,2,6,1,0,1,3,4.145161290322581,1,8,14,7,62
316,4,4,8,1,8,7,0,1,1,15,3,0,4,0,0,16,5,0,0,0,1,0,2,17,0,2,1,0,0,0,1,4.265625,0,5,16,7,64
317,3,0,17,0,16,9,0,0,3,23,16,0,8,0,0,22,10,0,0,0,4,0,3,8,3,2,7,5,1,0,2,4.766355140186916,0,19,20,20,107
318,6,1,9,0,15,5,0,0,0,16,8,0,5,0,1,21,4,0,0,1,4,0,5,16,3,0,3,0,1,0,2,4.476923076923077,0,7,15,11,65
319,13,2,17,0,16,14,0,0,5,26,15,0,10,0,0,11,11,0,0,0,3,0,8,9,6,5,4,7,0,0,2,5.556603773584905,0,13,13,14,106
320,16,1,22,2,43,11,1,0,5,38,6,0,8,0,0,43,23,0,0,1,17,0,24,30,4,4,12,2,1,3,1,4.084415584415584,3,16,9,9,154
321,6,5,12,0,19,2,0,0,1,19,2,0,7,0,0,16,6,1,0,2,4,0,5,7,3,0,2,2,0,0,0,4.761904761904762,0,6,8,2,63
322,7,0,10,1,14,2,1,0,1,13,6,0,4,0,0,21,9,0,0,3,5,0,4,13,3,2,2,2,1,0,0,4.422535211267606,0,6,16,10,71
323,15,2,10,0,14,16,0,0,1,30,11,0,6,0,0,39,19,0,0,1,15,0,16,22,8,0,10,5,2,1,5,4.808510638297872,2,16,20,15,141
324,14,0,19,1,26,12,0,0,4,40,9,0,12,0,0,46,19,0,0,2,10,0,12,36,5,5,4,2,6,1,0,4.666666666666667,6,7,19,12,150
325,4,1,16,0,16,6,1,0,1,27,26,0,6,0,0,23,9,0,0,4,0,0,3,25,2,0,3,3,0,0,2,4.900763358778626,0,22,21,34,131
326,5,3,27,0,28,12,0,0,1,38,23,0,7,0,0,10,2,0,0,2,5,0,5,20,5,3,0,2,1,0,1,5.38655462184874,0,23,21,18,119
327,1,0,3,0,1,1,0,0,0,6,1,0,0,0,0,4,1,0,0,0,4,0,1,3,0,0,1,0,0,0,0,3.875,0,2,7,3,16
328,14,0,14,1,22,11,0,0,3,27,18,0,6,0,0,49,6,0,0,2,10,0,12,37,9,3,6,3,1,1,1,4.742857142857143,2,14,20,16,140
329,12,0,11,0,8,5,1,0,0,13,14,0,6,0,0,12,5,0,0,1,8,0,5,19,5,0,2,0,1,0,0,4.869565217391305,1,14,16,5,69
330,10,0,16,0,13,6,1,0,3,29,45,0,7,0,0,20,16,0,1,4,14,0,13,28,2,6,6,2,0,0,2,4.70440251572327,0,63,12,10,159
331,2,1,10,0,7,8,0,0,1,15,7,0,3,0,0,21,12,1,0,1,3,0,4,16,5,1,2,0,0,0,2,4.901234567901234,0,4,17,16,81
332,9,3,11,0,16,9,0,0,2,18,9,0,4,0,0,24,17,0,0,2,4,0,8,10,0,9,12,1,0,0,6,4.061224489795919,0,14,16,5,98
333,5,0,14,0,16,8,0,0,3,21,10,0,10,0,0,19,8,0,0,1,5,0,5,14,2,2,4,3,1,1,2,4.701030927835052,1,12,18,15,97
334,12,2,12,0,29,12,0,0,0,28,12,0,12,0,0,25,10,0,0,5,6,0,7,34,7,8,0,0,0,0,1,5.3,0,15,17,12,130
335,1,0,8,0,18,6,0,1,1,18,2,0,3,0,0,15,13,0,0,0,2,0,3,1,3,1,11,4,0,1,1,4.583333333333333,1,3,14,11,72
