,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
171,7,0,9,0,19,9,2,1,5,19,5,0,2,0,0,32,10,0,0,0,11,0,16,14,3,2,5,1,1,0,1,4.6521739130434785,0,6,17,115
172,24,1,17,0,34,12,0,1,1,44,12,0,12,0,1,76,18,0,0,5,10,0,8,45,13,3,13,0,2,3,2,4.761904761904762,4,15,20,189
173,1,0,12,0,13,7,0,0,0,22,4,0,0,0,0,21,10,0,0,0,3,0,1,15,7,2,2,0,0,1,2,4.267605633802817,2,10,8,71
174,8,1,20,2,25,10,1,0,3,52,33,0,2,0,0,22,13,1,0,1,5,0,9,20,5,5,4,7,0,2,1,5.993377483443709,1,39,15,151
175,3,0,1,0,8,1,1,0,0,10,9,0,4,0,0,15,4,0,0,0,4,0,4,8,3,1,2,1,0,0,0,4.169811320754717,0,10,8,53
176,0,0,10,1,12,2,0,0,1,13,3,0,3,0,0,6,4,0,0,0,5,0,5,0,1,0,6,4,0,0,2,5.0285714285714285,1,4,6,35
177,2,1,13,1,9,5,0,0,0,11,2,0,3,0,0,13,10,0,0,0,5,0,5,12,1,3,1,2,0,0,4,4.803921568627451,1,2,8,51
178,3,0,7,1,2,1,0,0,1,7,1,0,1,0,0,8,2,0,0,0,1,0,3,0,0,2,5,1,0,0,1,4.071428571428571,0,7,7,28
179,2,0,8,0,11,2,0,0,0,23,5,0,1,0,0,13,6,0,0,0,2,0,2,6,4,1,5,3,1,2,1,5.226415094339623,2,8,3,53
180,11,5,17,0,18,3,0,0,4,27,11,0,6,0,0,29,7,0,0,1,4,0,8,26,4,3,4,0,2,1,4,4.580952380952381,1,12,13,105
181,4,2,19,0,16,8,1,0,1,24,15,0,5,0,0,34,12,0,0,0,9,0,9,23,3,1,5,3,1,0,5,3.805084745762712,1,21,11,118
182,4,0,5,0,9,3,1,1,0,22,0,0,5,0,1,5,4,0,0,0,3,0,5,0,3,1,7,2,0,1,0,6.511627906976744,1,2,5,43
183,16,0,23,0,22,9,0,1,7,39,15,0,7,0,0,37,15,0,0,4,5,0,12,23,7,3,6,5,1,2,3,4.707142857142857,2,22,13,140
184,2,0,4,0,6,3,0,0,0,4,3,0,4,0,0,18,4,0,0,0,5,0,3,11,0,0,0,0,0,0,1,4.314285714285714,0,3,6,35
185,3,1,0,0,1,3,1,0,0,2,8,0,0,0,0,10,0,0,0,0,1,0,1,9,0,2,0,0,0,0,1,4.555555555555555,0,9,5,27
186,5,3,13,1,22,4,0,1,4,17,8,0,4,0,0,16,12,0,0,4,4,0,8,12,6,0,2,2,1,1,1,4.541176470588235,2,7,10,85
187,11,3,12,0,14,6,0,1,0,21,10,0,3,0,0,19,5,0,0,0,5,0,3,13,4,3,0,0,0,0,1,4.567164179104478,0,11,7,67
188,10,2,10,0,14,6,0,1,2,27,14,0,8,0,0,27,9,0,0,3,6,0,7,18,4,2,3,2,0,0,1,5.284313725490196,1,14,12,102
189,1,0,8,0,9,7,0,0,0,12,2,0,2,0,0,13,3,0,0,0,5,0,5,5,3,1,5,0,0,0,5,4.204081632653061,0,2,9,49
190,4,1,1,0,3,1,0,0,1,9,0,0,0,0,0,15,5,0,0,1,6,0,7,10,2,0,1,0,0,1,1,3.973684210526316,2,3,5,38
191,11,0,9,0,10,11,0,0,1,14,7,0,3,0,0,29,14,0,0,0,17,0,13,27,7,3,2,1,0,0,4,4.376237623762377,0,9,18,101
192,2,0,6,0,10,5,0,1,0,17,2,0,1,0,0,11,5,0,0,0,4,0,5,0,4,0,5,5,1,0,1,4.75,1,2,8,44
193,3,1,2,0,5,2,0,0,0,7,1,0,4,0,0,12,8,0,0,0,3,0,1,8,2,2,1,0,0,0,0,4.55,0,1,5,40
194,5,0,19,0,19,5,0,0,0,29,3,0,5,0,0,24,7,0,0,1,10,0,8,23,6,5,1,1,0,0,3,4.887755102040816,0,1,13,98
195,6,0,13,0,17,7,0,0,1,25,7,0,1,0,0,27,13,0,0,3,6,0,5,27,1,5,2,2,0,0,1,4.122222222222222,0,8,11,90
196,3,0,12,0,19,3,1,0,1,25,27,0,3,0,0,17,9,0,0,3,4,0,3,21,5,1,1,1,0,0,0,5.0,0,31,14,102
197,4,1,12,2,12,2,1,0,0,15,2,0,3,0,0,13,8,0,0,1,2,0,3,15,5,2,1,0,0,0,0,4.867924528301887,0,6,11,53
198,11,1,10,2,15,5,0,0,2,32,2,0,6,0,0,19,6,0,0,0,8,0,10,1,16,3,9,10,1,1,2,5.445652173913044,1,5,11,92
199,1,1,9,1,10,5,0,0,3,15,5,0,5,0,0,22,12,0,0,1,4,0,4,15,3,3,4,1,1,2,4,4.6835443037974684,4,3,17,79
200,14,2,17,3,29,7,2,0,4,39,40,0,9,0,0,32,10,0,0,5,8,0,13,22,10,4,2,4,0,1,2,5.228395061728395,1,53,19,162
201,11,2,14,1,13,4,0,1,1,22,12,0,10,0,0,9,12,2,0,2,5,0,6,0,11,2,7,3,0,0,0,6.022988505747127,0,12,7,87
202,10,0,19,0,27,9,0,0,3,44,9,0,7,0,0,39,18,0,0,0,12,0,12,32,10,13,3,3,0,1,0,4.935483870967742,1,11,29,155
203,3,0,30,1,24,7,2,0,1,40,12,0,9,0,0,15,10,0,0,0,3,0,3,22,2,4,0,1,3,0,3,5.252173913043478,1,14,14,115
204,9,4,32,0,29,18,0,0,2,50,14,0,14,0,0,66,21,0,0,3,10,0,8,38,9,3,12,2,0,0,3,4.626126126126126,1,20,30,222
205,3,1,7,0,9,3,0,0,1,14,3,0,1,0,0,21,7,0,0,0,3,0,4,11,0,3,0,0,0,0,1,4.416666666666667,0,7,7,48
206,11,1,11,0,14,4,0,0,3,49,25,1,5,0,1,36,19,0,0,1,5,0,8,21,4,5,16,2,0,0,3,4.712574850299402,0,29,25,167
207,15,2,14,2,29,6,0,0,3,53,54,0,10,0,0,48,11,0,0,0,21,0,20,33,13,2,12,0,1,0,8,5.085201793721973,2,55,21,223
208,12,0,15,1,11,3,0,0,0,30,9,0,2,0,0,28,8,0,0,3,3,0,4,20,0,2,5,1,0,0,1,4.01123595505618,0,15,10,89
209,17,3,27,2,27,20,0,0,0,43,27,0,7,0,0,27,24,0,0,2,15,0,16,30,3,3,6,4,2,1,2,4.804733727810651,1,35,5,169
210,12,2,7,0,9,1,0,0,0,25,8,0,0,0,0,15,9,0,0,1,2,0,1,11,1,2,3,0,0,0,1,4.9298245614035086,0,10,6,57
211,5,0,9,1,11,8,0,0,1,16,9,0,2,0,0,24,3,0,0,2,6,0,3,16,4,3,4,1,0,0,0,4.605263157894737,0,8,15,76
212,8,2,16,0,17,3,0,0,2,21,3,0,3,0,0,23,11,0,0,1,12,0,15,1,8,3,17,5,2,0,6,4.67948717948718,1,11,9,78
213,10,2,19,0,23,10,1,2,5,29,3,0,12,0,0,20,13,0,0,1,5,0,10,0,8,4,8,11,1,0,1,5.59047619047619,0,5,9,105
214,11,0,7,0,18,13,0,0,5,10,10,0,7,0,0,36,17,0,0,0,4,0,13,20,5,5,4,1,0,1,1,4.707964601769912,0,14,19,113
215,8,1,15,0,16,8,0,0,2,18,5,0,4,0,0,16,3,0,0,1,1,0,3,10,3,4,2,2,0,0,0,4.485294117647059,0,8,5,68
216,7,0,5,0,14,9,3,0,1,32,13,0,0,0,0,18,12,0,0,1,3,0,5,3,3,0,14,4,0,1,4,5.009345794392523,2,15,16,107
217,16,0,13,0,16,6,0,0,4,30,8,0,5,0,0,40,13,0,0,2,5,0,11,26,3,4,4,2,0,1,7,4.232558139534884,4,6,9,129
218,9,1,15,1,30,7,1,2,1,29,10,0,5,0,0,40,18,0,0,4,4,0,4,29,5,1,6,4,0,1,5,4.830645161290323,2,12,7,124
219,18,7,14,1,12,8,0,1,1,21,10,0,13,0,0,39,16,0,0,2,5,0,7,30,5,4,5,3,0,0,2,4.291970802919708,0,11,17,137
220,5,1,14,1,21,2,2,0,1,23,8,0,1,0,0,30,5,0,0,0,12,0,9,18,4,5,3,3,0,1,7,4.252525252525253,1,9,9,99
221,10,1,18,1,21,13,3,0,15,36,5,0,2,0,0,24,10,2,0,3,3,0,21,10,2,5,7,3,0,0,3,4.936936936936937,1,9,12,111
222,3,2,6,0,6,9,0,0,0,11,2,0,2,0,0,11,2,0,0,0,1,0,2,9,1,0,0,1,1,0,2,4.333333333333333,0,4,8,42
223,10,1,11,0,21,13,1,0,0,25,27,0,13,0,0,53,17,0,0,5,13,0,12,52,15,2,10,2,0,2,2,5.526011560693641,2,27,33,173
224,4,0,11,1,13,3,0,0,0,16,9,0,1,0,0,13,2,0,0,0,6,0,3,11,1,1,2,0,0,0,0,4.7924528301886795,0,8,9,53
225,4,1,1,1,11,10,0,1,0,9,3,0,9,0,0,8,0,0,0,0,3,0,4,1,4,1,3,6,0,1,0,5.363636363636363,1,0,10,44
226,11,2,15,1,23,11,1,1,2,50,52,0,4,1,0,38,21,0,0,2,5,0,9,17,5,5,15,17,0,1,1,4.857142857142857,1,57,35,224
227,8,0,16,0,29,11,1,0,2,28,11,0,3,0,0,46,18,0,0,1,18,0,23,24,4,2,2,1,0,0,3,4.509090909090909,0,13,9,110
228,9,1,6,0,8,12,1,0,5,21,1,0,12,0,0,18,11,0,0,1,8,0,15,2,8,1,8,6,0,1,3,5.931034482758621,1,14,9,87
229,4,1,13,1,11,3,0,3,2,14,4,0,6,0,0,9,7,0,0,2,2,0,4,6,2,4,1,0,0,0,1,5.5576923076923075,0,5,4,52
230,10,3,16,0,13,7,0,0,1,30,7,0,1,0,0,30,16,0,0,0,2,0,4,25,5,3,0,2,0,0,1,4.677777777777778,0,6,12,90
231,12,1,25,0,33,10,1,0,3,56,21,0,8,0,0,37,13,1,0,2,6,0,10,5,3,2,13,14,2,0,3,5.3522727272727275,0,17,17,176
232,4,2,8,0,10,1,0,0,1,17,2,0,5,0,0,13,6,0,0,2,1,0,2,5,3,0,6,0,0,0,1,4.354838709677419,0,3,10,62
233,10,3,17,0,21,8,0,0,2,28,12,0,7,0,0,44,17,0,0,1,4,0,5,19,4,1,9,1,0,1,3,4.43859649122807,2,14,8,114
234,3,2,4,0,4,5,0,0,1,10,4,0,2,0,0,21,4,0,0,0,2,0,3,18,2,1,1,0,0,0,4,3.5517241379310347,0,6,5,58
235,5,1,6,0,13,3,0,2,3,10,21,0,8,0,0,17,6,0,0,1,7,0,8,15,2,3,5,0,0,1,0,4.956043956043956,1,18,9,91
236,8,1,18,3,22,6,0,0,1,33,9,0,8,0,0,35,17,0,0,4,6,0,4,27,9,4,6,3,0,1,0,4.878048780487805,1,18,16,123
237,6,1,9,0,10,3,0,0,0,16,1,0,6,0,0,21,8,0,0,0,6,0,4,15,4,7,4,1,0,0,1,4.2,1,4,11,80
238,3,1,4,0,2,4,0,0,0,7,0,0,3,0,0,7,2,0,0,0,2,0,1,8,0,1,0,1,0,0,1,3.6153846153846154,0,9,3,26
239,6,1,20,0,20,5,0,0,3,26,7,0,5,0,0,22,5,0,0,1,7,0,6,17,1,5,0,1,0,0,4,4.5,2,7,15,86
240,7,0,7,0,9,1,0,0,2,16,13,0,3,0,0,18,7,0,0,0,0,0,4,15,5,5,6,2,1,2,1,5.216216216216216,2,13,12,74
241,16,2,29,0,16,8,0,0,0,51,0,0,7,0,0,18,11,0,0,2,10,0,11,19,1,10,7,2,1,0,1,4.154471544715447,0,63,4,123
242,0,0,5,0,1,3,1,0,2,5,1,0,1,0,1,14,4,0,0,0,0,0,2,9,2,0,0,1,0,0,4,4.483870967741935,0,2,5,31
243,1,0,2,1,5,3,1,0,1,6,1,0,6,0,0,14,6,0,0,0,3,0,4,1,0,1,10,4,0,2,1,4.125,2,5,6,48
244,5,0,3,0,9,7,0,0,0,17,6,0,1,0,0,22,5,0,0,3,1,0,2,19,7,2,3,0,0,1,2,4.642857142857143,1,6,13,70
245,8,1,16,0,25,2,0,0,0,34,2,0,3,0,0,15,7,0,0,2,7,0,5,7,5,0,5,1,0,1,0,3.892857142857143,1,8,10,84
246,3,0,7,0,12,2,0,0,0,20,4,0,4,0,0,14,2,0,0,0,4,0,3,9,2,1,3,1,1,0,0,5.12962962962963,1,6,7,54
247,6,0,9,0,13,6,0,0,1,22,1,0,0,0,0,19,6,0,0,0,7,0,8,9,5,0,2,3,0,1,2,4.633333333333334,1,5,3,60
248,5,2,5,0,13,4,0,0,0,8,3,0,3,0,0,20,2,0,0,2,6,0,7,6,0,2,8,2,0,1,1,4.196078431372549,2,4,3,51
249,10,0,27,0,29,9,0,0,3,45,15,0,2,0,0,41,17,0,0,1,8,0,12,27,7,0,8,3,1,0,3,4.771428571428571,0,12,18,140
250,4,0,6,0,10,3,0,0,0,13,7,0,3,0,0,16,4,0,0,0,4,0,4,13,2,1,0,0,0,0,0,4.296296296296297,0,6,7,54
251,5,2,12,0,24,10,0,0,2,19,15,0,11,0,0,30,10,0,0,5,3,0,5,20,3,8,7,4,0,1,0,5.112068965517241,1,18,24,116
252,7,0,10,0,16,5,0,0,1,22,11,0,4,0,0,26,11,0,0,0,1,0,3,8,6,0,5,6,1,0,4,5.555555555555555,0,11,12,81
253,16,1,30,1,21,17,3,1,1,52,12,0,7,0,1,50,22,0,0,3,15,0,16,41,15,3,10,2,2,2,4,4.576923076923077,1,3,37,208
254,3,1,6,0,8,5,1,0,1,13,1,0,4,0,0,23,4,0,0,1,3,0,3,12,3,3,1,2,0,1,1,4.456140350877193,1,0,9,57
255,7,1,14,1,14,14,2,0,3,33,14,0,3,0,0,24,10,0,0,0,9,0,13,24,7,6,1,5,0,4,3,5.722689075630252,4,12,18,119
256,9,4,15,0,24,7,0,0,2,23,4,0,10,0,1,24,11,0,0,3,5,1,8,21,3,3,1,3,2,0,2,4.65,1,6,10,100
257,3,0,9,0,10,5,0,0,0,18,4,0,9,0,0,16,3,0,0,0,6,0,5,0,2,1,12,3,1,0,3,6.517241379310345,0,6,8,58
258,3,0,8,1,14,7,0,0,0,10,14,0,4,0,0,21,11,0,0,0,5,0,3,4,2,3,11,5,0,0,0,5.208333333333333,0,8,14,72
259,7,0,16,0,15,6,0,0,0,28,5,0,3,0,0,36,21,0,0,4,10,0,11,24,5,3,5,1,0,0,6,4.4953271028037385,0,9,15,107
260,2,1,2,0,4,2,0,0,0,4,1,0,0,0,0,14,1,0,0,1,5,0,4,7,0,0,3,0,0,0,2,3.6666666666666665,0,2,3,24
261,10,0,11,0,15,5,0,0,0,29,4,0,5,0,0,17,6,1,0,2,5,0,11,7,3,0,2,7,0,1,3,4.333333333333333,1,6,10,72
262,1,0,5,0,8,6,0,0,4,14,6,0,2,0,0,12,1,0,0,0,4,0,9,1,1,0,5,3,0,0,0,5.212765957446808,0,6,8,47
263,6,0,6,0,11,5,0,0,1,17,1,0,4,0,0,16,7,0,0,0,2,0,1,7,10,1,2,1,0,0,0,6.142857142857143,0,5,6,49
264,4,2,11,3,28,5,1,0,4,34,11,0,4,0,1,37,19,2,0,1,8,0,13,10,10,3,10,4,0,2,2,4.292517006802721,2,19,15,147
265,7,2,24,0,29,14,1,0,4,39,5,1,5,0,0,36,20,0,0,2,5,0,8,23,11,8,7,2,0,3,1,4.825301204819277,3,11,20,166
266,10,1,12,0,10,9,0,1,2,19,3,0,6,0,0,12,3,0,0,1,2,0,5,15,6,1,0,0,0,0,1,4.764705882352941,0,3,7,51
267,14,2,18,1,20,7,0,0,0,35,21,0,18,0,0,17,4,0,0,1,6,0,2,24,10,3,0,2,1,0,2,5.80327868852459,1,25,15,122
268,18,0,15,4,25,11,0,0,3,33,4,0,4,0,0,53,23,0,0,2,11,0,11,39,7,8,8,3,0,5,3,4.098484848484849,5,5,7,132
269,1,0,8,0,13,4,1,0,1,20,1,0,4,0,0,15,11,0,0,3,3,0,8,14,2,1,4,0,0,0,3,4.311688311688312,0,0,11,77
270,1,1,2,0,7,8,1,0,2,19,5,0,4,0,0,27,4,0,0,0,3,0,5,14,3,3,6,1,1,0,2,4.546666666666667,0,6,14,75
271,7,1,6,1,15,8,1,0,2,26,9,0,4,0,0,27,13,0,0,2,4,0,7,16,1,2,7,0,0,0,3,4.6,0,6,14,85
272,5,0,4,0,6,6,0,0,2,9,7,0,2,1,0,29,12,0,0,1,3,0,4,18,3,2,1,0,0,0,3,4.030769230769231,0,7,11,65
273,4,3,10,0,13,6,0,1,0,22,13,0,2,0,2,13,5,0,0,0,3,0,2,17,3,1,1,0,0,0,4,5.054054054054054,0,12,14,74
274,0,0,3,0,5,3,0,0,1,10,3,0,2,0,0,12,3,0,0,1,0,0,2,1,3,0,4,2,0,0,1,3.1333333333333333,0,10,5,45
275,5,1,14,1,21,11,1,2,1,18,10,0,5,0,1,33,18,0,0,3,4,0,4,31,6,6,3,1,0,1,2,4.47244094488189,0,14,14,127
276,2,18,9,0,6,11,0,0,2,19,5,0,6,0,0,28,6,0,0,1,3,0,5,20,1,2,2,0,1,0,3,4.584158415841584,0,4,17,101
277,1,1,8,0,14,4,1,0,0,14,7,0,2,0,0,10,2,0,0,0,8,0,7,6,1,0,1,1,0,0,2,4.586956521739131,0,6,5,46
278,4,2,5,0,10,3,0,0,1,11,3,0,2,0,0,19,7,0,0,1,6,0,5,11,1,1,4,1,0,0,2,3.8846153846153846,0,3,9,52
279,1,0,21,1,22,5,0,0,2,34,3,0,6,0,0,18,9,0,0,1,6,0,4,12,7,1,6,2,1,1,2,4.585365853658536,1,7,5,82
280,2,2,12,0,11,4,2,0,0,26,5,0,4,0,0,23,9,0,0,4,2,0,3,16,6,3,3,4,1,2,2,5.606741573033708,2,10,18,89
281,12,0,17,0,24,13,0,1,2,53,9,0,4,0,0,32,13,1,1,2,12,0,13,24,8,2,3,2,1,2,4,4.699346405228758,3,16,20,153
282,5,3,8,0,9,4,0,1,2,12,1,0,6,0,0,11,3,0,1,1,5,0,6,5,2,1,7,2,0,0,4,4.7924528301886795,1,1,7,53
283,8,0,9,0,5,2,2,0,1,30,2,0,3,0,0,20,5,0,0,0,6,0,6,14,6,1,5,2,1,0,0,3.88,0,28,6,75
284,6,0,6,0,11,6,0,0,1,18,0,0,5,0,0,26,15,0,0,1,5,0,6,17,3,2,2,5,0,0,1,4.975,0,2,10,80
285,6,1,11,1,18,11,0,0,0,27,37,0,4,0,0,17,9,1,0,2,3,0,2,17,2,1,5,1,0,0,0,5.267716535433071,0,39,25,127
286,2,3,7,2,5,4,1,0,0,14,6,0,1,0,0,18,7,0,0,3,8,0,7,13,3,3,1,0,1,0,3,4.333333333333333,2,9,4,60
287,13,1,30,0,26,11,0,1,3,58,44,0,6,0,0,28,15,0,0,4,9,0,10,36,6,3,5,5,0,0,0,4.837209302325581,0,41,30,215
288,7,1,31,0,40,16,0,2,3,65,69,0,13,0,0,41,10,1,0,7,15,0,19,49,21,5,5,4,2,1,4,5.507936507936508,0,62,47,315
289,8,0,7,0,15,2,0,0,0,19,11,0,2,0,0,24,8,0,0,1,8,0,7,20,9,1,1,0,0,0,2,4.733333333333333,0,15,7,75
290,12,1,23,0,25,14,2,2,5,40,15,0,4,0,0,58,13,0,0,1,15,0,18,30,9,4,10,6,0,2,3,5.296774193548387,3,24,28,155
291,1,0,3,0,1,3,0,0,0,4,1,0,4,0,0,2,1,0,0,0,0,0,3,1,0,1,2,0,0,0,1,4.0,0,3,3,19
292,1,1,3,0,6,3,0,0,2,14,7,0,6,0,0,12,10,0,0,0,0,0,1,6,1,1,2,0,0,0,1,4.6923076923076925,0,8,7,52
293,9,0,18,1,22,8,0,1,1,33,35,0,5,0,0,25,5,0,0,2,5,0,3,30,1,1,1,2,2,0,2,5.414634146341464,0,29,16,123
294,4,1,17,0,21,8,0,1,2,36,27,0,4,0,0,29,11,0,0,2,9,0,8,24,11,2,7,4,1,3,3,5.129032258064516,3,19,25,155
295,10,0,13,0,13,5,0,0,4,26,2,0,4,0,0,22,8,0,0,0,5,0,10,3,0,1,4,5,0,3,1,5.492537313432836,3,12,5,67
296,9,1,10,0,13,6,0,0,0,25,3,0,10,0,0,31,9,0,0,2,7,0,7,22,7,1,4,2,4,1,2,5.428571428571429,2,3,11,98
297,8,1,6,0,8,3,1,0,2,15,3,0,5,0,0,21,7,0,0,2,7,0,8,16,3,4,3,0,0,0,1,4.577464788732394,0,4,10,71
298,6,0,3,0,5,3,0,0,1,12,4,0,1,0,0,10,5,0,0,0,1,0,6,3,2,1,5,5,1,1,3,4.75,1,2,7,40
299,4,10,12,0,15,6,1,0,1,35,59,0,11,0,0,35,15,0,0,1,5,0,8,9,7,5,19,7,0,0,2,5.532608695652174,0,56,37,184
300,3,2,9,0,9,5,1,0,2,15,12,0,5,0,0,30,9,1,0,2,14,0,13,18,4,0,3,4,0,0,4,5.571428571428571,0,7,17,91
301,7,0,13,0,16,10,0,2,0,24,2,0,18,0,0,11,4,0,0,0,6,0,5,3,3,2,9,7,0,3,5,5.425,4,16,7,80
302,5,2,11,1,11,6,0,0,0,23,12,0,4,0,0,16,8,0,0,1,4,0,6,18,1,1,2,2,1,0,0,4.935897435897436,0,16,10,78
303,0,0,3,1,5,6,0,0,1,8,0,0,1,0,0,4,2,0,0,0,2,0,4,0,3,0,2,2,0,0,1,5.545454545454546,1,0,4,22
304,6,1,17,1,16,18,1,0,1,18,3,0,8,0,0,20,12,0,0,0,8,0,8,7,2,5,8,6,1,0,4,4.645833333333333,0,6,10,96
305,11,2,22,1,21,6,1,3,0,39,8,0,9,0,0,27,5,0,0,4,9,0,12,17,3,1,9,6,1,0,2,4.813953488372093,0,5,21,129
306,5,0,5,0,3,1,1,0,0,12,0,0,1,0,0,9,1,0,0,0,13,0,10,0,0,1,6,3,0,1,5,4.8108108108108105,1,2,6,37
307,9,0,5,1,14,7,0,0,1,16,3,0,3,0,0,15,12,0,0,0,6,0,12,0,5,0,9,2,1,0,2,5.065573770491803,0,6,6,61
308,8,1,14,0,29,7,2,0,2,33,16,0,4,0,0,42,19,0,0,0,6,0,8,25,8,4,7,3,2,0,2,5.028368794326241,2,15,15,141
309,1,0,8,0,7,3,0,0,0,16,1,0,1,0,0,9,9,0,0,0,2,0,0,13,1,0,2,0,1,0,0,4.916666666666667,0,6,7,36
310,14,0,17,0,12,6,2,0,2,27,16,0,3,0,0,21,6,0,0,1,5,0,6,19,1,3,4,0,0,0,1,4.644444444444445,0,31,14,90
311,5,0,11,0,8,3,0,0,0,30,5,0,6,0,0,25,8,0,0,4,9,0,6,19,5,2,0,3,0,0,0,4.444444444444445,0,3,10,81
312,7,2,21,0,26,13,1,1,2,49,27,0,8,0,0,25,7,0,0,0,9,0,12,24,6,4,7,2,0,1,0,5.782122905027933,1,40,25,179
313,3,4,16,0,10,6,1,1,1,28,3,0,5,0,0,16,1,0,0,1,9,0,7,6,5,1,6,4,0,0,1,4.558139534883721,0,6,9,86
314,5,1,13,0,13,6,2,0,5,20,9,0,7,0,0,25,5,0,0,1,5,0,11,16,4,0,0,0,0,1,2,4.666666666666667,1,7,13,90
315,9,0,6,2,8,1,1,0,1,21,0,0,1,0,0,15,12,0,0,2,4,0,8,0,2,0,6,5,0,0,0,4.934782608695652,0,4,1,46
316,7,2,1,3,3,1,0,0,0,10,2,0,4,0,0,17,6,0,0,1,2,0,1,10,0,2,3,0,0,0,2,3.8222222222222224,0,4,6,45
317,4,0,9,0,25,10,1,0,2,32,7,0,8,0,0,42,12,0,0,1,2,0,5,21,5,5,6,3,2,1,1,4.605042016806722,1,10,10,119
318,1,1,2,0,5,5,0,0,1,8,2,0,6,0,0,10,2,0,0,0,3,0,3,0,0,0,6,0,0,2,1,4.277777777777778,2,1,6,36
319,3,3,22,0,26,11,1,2,3,32,15,0,4,0,0,8,6,0,0,2,4,0,10,12,3,6,1,0,0,0,1,5.73469387755102,0,17,11,98
320,2,2,7,0,8,2,0,0,0,8,0,0,1,0,0,11,6,0,0,2,0,0,0,11,4,2,0,1,0,0,2,4.444444444444445,0,0,6,36
321,9,1,8,0,9,5,0,0,1,16,4,0,3,0,1,23,4,0,0,2,4,0,4,17,3,3,3,1,0,0,2,4.211267605633803,0,4,11,71
322,8,1,6,0,8,7,1,0,2,18,20,0,2,0,0,23,8,0,0,1,4,0,9,11,7,2,4,0,0,1,2,5.149425287356322,1,20,14,87
323,9,0,14,0,17,5,0,0,0,22,3,0,10,0,0,26,10,0,0,2,7,0,4,28,4,1,2,1,2,2,4,4.7105263157894735,2,5,8,76
324,4,2,12,1,11,5,1,0,2,19,15,0,0,0,0,10,9,1,0,1,5,0,6,15,2,4,1,1,0,0,1,5.507042253521127,0,18,9,71
325,8,2,15,1,12,4,0,0,0,31,10,0,1,0,0,15,1,0,0,0,4,0,4,20,3,2,0,0,0,0,1,4.89873417721519,0,12,10,79
326,8,4,23,0,26,13,0,0,2,50,10,0,9,0,0,22,11,1,0,2,10,0,9,15,6,4,5,2,0,0,3,5.007299270072993,0,10,21,137
327,6,2,14,0,19,13,0,1,2,18,4,0,8,0,0,30,13,0,0,2,8,0,9,21,5,3,6,4,0,0,2,4.495652173913044,0,7,14,115
328,6,1,15,1,9,4,0,0,2,32,2,0,2,0,0,24,12,0,0,2,2,0,3,18,0,3,4,2,1,0,2,4.986301369863014,0,7,12,73
329,1,1,3,0,11,4,0,0,0,17,5,0,3,0,0,14,2,0,0,0,4,0,4,9,8,0,2,2,0,0,1,5.28,0,3,11,50
330,9,0,13,0,13,4,0,0,3,24,16,0,5,0,0,25,7,0,0,2,6,0,9,23,4,3,4,2,2,0,3,5.287037037037037,1,15,13,108
331,4,2,13,0,16,9,0,1,1,17,14,0,4,0,1,20,9,0,0,0,6,0,3,20,6,2,5,1,0,1,3,5.290322580645161,2,11,14,93
332,16,4,18,1,19,9,1,0,0,35,6,0,9,0,0,38,16,0,0,1,10,0,8,35,6,5,3,3,0,1,3,4.659259259259259,1,3,17,135
333,6,1,5,0,5,6,0,0,1,13,6,0,2,0,0,16,5,0,0,1,5,0,5,11,3,0,0,0,1,0,1,4.321428571428571,0,5,7,56
334,8,2,13,0,15,7,0,2,0,19,24,0,6,0,0,19,12,0,0,0,8,0,6,18,4,1,1,0,1,0,3,5.259615384615385,0,19,17,104
335,13,0,13,0,22,6,0,0,2,35,8,0,3,0,0,17,18,0,0,1,7,0,7,0,14,3,9,15,0,2,3,5.580952380952381,2,6,16,105
336,6,0,17,0,24,11,2,0,2,45,52,0,5,0,0,48,15,0,1,4,14,0,10,41,12,2,8,4,0,4,4,5.351931330472103,3,52,44,233
337,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.142857142857143,0,0,3,7
338,17,2,36,2,34,13,1,4,5,47,19,0,15,1,0,52,13,0,0,6,13,0,15,46,20,7,5,4,1,0,5,5.409756097560976,1,23,22,205
339,3,0,25,1,16,11,0,0,3,38,21,0,4,0,0,24,9,0,0,0,4,0,6,17,2,0,4,0,0,2,2,5.07563025210084,1,23,25,119
340,6,0,17,1,16,9,0,0,3,33,14,0,3,0,0,43,14,0,0,3,9,0,12,25,8,3,6,9,0,0,2,4.401408450704225,1,14,25,142
341,2,1,15,0,16,10,1,0,1,31,29,0,4,0,0,21,8,0,0,0,5,0,5,17,2,1,6,2,0,0,1,5.311475409836065,0,42,20,122
342,4,1,13,0,12,3,0,0,3,19,4,0,3,0,0,18,9,0,0,1,6,0,10,3,1,1,1,7,0,1,3,5.065573770491803,1,2,9,61
343,11,1,10,0,16,11,0,0,2,19,5,0,5,0,0,29,16,0,0,1,5,0,7,12,9,1,9,2,0,0,1,4.372340425531915,0,1,15,94
